task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
tworoom,4,0,0,1,215723,288264,0.3189826640825457,0.00810064608442506,0.31088201799812065,0.8205163775409192,0.8386949734753263,0.8498373033741713,0.6789120967283753
tworoom,4,0,0,2,215723,164709,0.41346908292017903,0.01151198343150063,0.4019570994886784,0.9602921127396042,0.4797523458603411,0.8722154490365774,0.6203525938541989
tworoom,4,0,0,3,215723,222767,0.4304674689899702,0.007135671905211068,0.4233317970847591,1.1771682221584072,0.7270654941708237,0.8017041894390617,0.5335324284570463
tworoom,4,0,1,2,288264,164709,0.10206111166626426,0.00216393412530581,0.09989717754095845,0.554427401180718,0.3589426276149852,0.8629191476753534,0.5771734060431978
tworoom,4,0,1,3,288264,222767,0.11619822898606616,0.0008831683277865966,0.11531506065827957,0.9095832424555224,0.11162947930450261,0.973369422479541,0.8319939192791075
tworoom,4,0,2,3,164709,222767,0.23098864662897653,0.0032673218294217085,0.22772132479955481,1.2323717729024057,0.24731314831048262,0.8659484115796475,0.5815281389440374
tworoom,4,1,0,1,285928,230742,0.11477269910453346,0.001058227296229376,0.11371447180830409,0.8984835661590184,0.10932357160898318,0.9775801655947318,0.8499747313093351
tworoom,4,1,0,2,285928,160432,0.10499776543921946,0.0023720124201630837,0.10262575301905638,0.5576185804471029,0.3720892240699828,0.8657596596072055,0.5847736830725321
tworoom,4,1,0,3,285928,214361,0.31229475111223204,0.0070020562732586705,0.30529269483897337,0.8137063017971257,0.831310223384163,0.8559052474700037,0.6766304231318903
tworoom,4,1,1,2,230742,160432,0.23688294687818753,0.0037941623806435148,0.23308878449754403,1.2431909615104655,0.2627656524609996,0.856865019927187,0.5571369626669679
tworoom,4,1,1,3,230742,214361,0.4192955405399159,0.006039098860746342,0.4132564416791696,1.1592520479414221,0.7219866517751798,0.806210911556168,0.5387822263099868
tworoom,4,1,2,3,160432,214361,0.4075054896125798,0.011012853273908395,0.39649263633867143,0.948682924239665,0.45922099931418026,0.8688001318018245,0.6039557355604903
tworoom,4,2,0,1,283809,233161,0.11527257245020844,0.0010622570986992587,0.11421031535150919,0.9039574059280466,0.09809959926223905,0.9772496942826808,0.8496190442488734
tworoom,4,2,0,2,283809,177169,0.10682311416697848,0.0032190632821439873,0.1036040508848345,0.5602117545421132,0.3686812089608374,0.8667013123493462,0.5830929727608486
tworoom,4,2,0,3,283809,197324,0.32800617202927734,0.007173889545467022,0.3208322824838103,0.8181919943176658,0.8508688436567365,0.8365341849091218,0.6784949758146774
tworoom,4,2,1,2,233161,177169,0.22881498993064145,0.0035422297538778716,0.22527276017676356,1.2029430206618996,0.2705816096985982,0.8802549620192178,0.5914267787935993
tworoom,4,2,1,3,233161,197324,0.4444245641903731,0.007132944349293979,0.4372916198410791,1.1889483348029055,0.7527692443944975,0.8124129199600761,0.5456871001519529
tworoom,4,2,2,3,177169,197324,0.39760654317816985,0.011872304019786424,0.3857342391583834,0.8814742271638351,0.4821876346958992,0.9060913973308157,0.6847948446133443
pusht,4,0,0,1,529717,628468,0.07478339622855502,0.00849567028200338,0.06628772594655165,0.6502075465644981,0.1018542480869965,0.9286760915003658,0.6517925363749615
pusht,4,0,0,2,529717,386234,0.05952975044809969,0.009062161422329401,0.05046758902577029,0.6070374719190715,0.10284759836935217,0.91546461114363,0.607857937241868
pusht,4,0,0,3,529717,736814,0.05593039486896895,0.007497243583831312,0.048433151285137636,0.5467207815757651,0.031570925422499764,0.8863775701994415,0.546004143553573
pusht,4,0,1,2,628468,386234,0.07102003196382752,0.009657449637808823,0.06136258232601869,0.6513982883691162,0.20470184645634867,0.9370017891065195,0.6579134811172932
pusht,4,0,1,3,628468,736814,0.06151740652858958,0.007356592500964783,0.05416081402762479,0.5437596468263497,0.1334251735094964,0.8752193965733509,0.5477609448155294
pusht,4,0,2,3,386234,736814,0.05391391403736162,0.00808611639514371,0.04582779764221791,0.5713290023874059,0.07127667294685248,0.9026495227747569,0.5701998326879067
pusht,4,1,0,1,565546,712706,0.05076521639762688,0.006340743123204756,0.04442447327442212,0.5989745875434265,0.02707718268211544,0.9068266783249253,0.5985191881539684
pusht,4,1,0,2,565546,617443,0.06295126150376695,0.012033707594655815,0.05091755390911114,0.5012807458041186,0.2344086164879363,0.8623636121098351,0.5143906754521972
pusht,4,1,0,3,565546,385538,0.05342515071681408,0.007176389307419629,0.04624876140939445,0.5932703576347428,0.022905712124532022,0.9080797757098602,0.590958884271973
pusht,4,1,1,2,712706,617443,0.053294292250160885,0.010579736815797275,0.04271455543436361,0.42147092289121757,0.2614857991700517,0.810022339613447,0.43984071722056
pusht,4,1,1,3,712706,385538,0.056161981649399846,0.006463051704887114,0.049698929944512735,0.6540670260149912,0.0499828948066475,0.9368085155704614,0.6535572809309744
pusht,4,1,2,3,617443,385538,0.07251085858973502,0.013314007880766903,0.059196850708968116,0.5785031378818772,0.21150290436340424,0.9054793291718025,0.5854904828844198
pusht,4,2,0,1,647197,679832,0.054834322474168376,0.010604921656985202,0.04422940081718317,0.41980682933667124,0.33648980777072235,0.811625215882257,0.4503242515776403
pusht,4,2,0,2,647197,553805,0.06927641980477502,0.013126183399354301,0.05615023640542072,0.5260985650635847,0.2572249181356389,0.876793859576864,0.54103821115391
pusht,4,2,0,3,647197,400399,0.07222282930225198,0.012609714017413244,0.05961311528483874,0.560654303307738,0.2574012298038327,0.8970325191531623,0.5730033647896408
pusht,4,2,1,2,679832,553805,0.049449833349496854,0.0061066285126529715,0.04334320483684388,0.6013611737561244,0.07926488963508335,0.9080437912836601,0.6012512333852142
pusht,4,2,1,3,679832,400399,0.050767961675940255,0.005126633753193483,0.04564132792274677,0.6335391328103115,0.07908857796688967,0.9284214741370493,0.6338977770976981
pusht,4,2,2,3,553805,400399,0.05438138064323588,0.00725144840349501,0.04712993223974087,0.6073337714734173,0.00017631166819376577,0.9148631215105562,0.6067947902796221
reacher,4,0,0,1,502998,487391,0.01827592577103102,0.0001311423197755487,0.01814478345125547,1.2913505307088138,0.08718747018988658,0.9615067536016116,0.7089086576671183
reacher,4,0,0,2,502998,497780,0.02029556944529476,0.0001310054402565224,0.020164564005038237,1.5208643327907791,0.03175039198651229,0.888001162261806,0.4790214100690359
reacher,4,0,0,3,502998,491983,0.011645096559442137,0.00010417495140277795,0.01154092160803936,0.8470455827087354,0.057390803752736134,0.914393100498887,0.6928117830761913
reacher,4,0,1,2,487391,497780,0.012565605162006258,0.00010229268626173104,0.012463312475744526,0.860277888705185,0.055437078203374394,0.9126890037946188,0.6974286993523255
reacher,4,0,1,3,487391,491983,0.022986067230095504,0.0001929716212462105,0.022793095608849293,1.535758117393304,0.029796666437150347,0.8919077581404925,0.46410567326830754
reacher,4,0,2,3,497780,491983,0.018529959588487934,0.00012766297105912787,0.018402296617428805,1.310642245526167,0.025640411766223843,0.9555204454200564,0.6890097134803858
reacher,4,1,0,1,509935,472734,0.021976920499761642,0.00013942715415903435,0.02183749334560261,1.5191800145355832,0.09174064760793614,0.8919639955438335,0.48298319433291664
reacher,4,1,0,2,509935,488246,0.01834382108596716,0.0001280626679267462,0.018215758418040413,1.302494048101368,0.0654153613419651,0.9582432051065181,0.698081339351143
reacher,4,1,0,3,509935,509237,0.011041294351920763,9.349387579977242e-05,0.01094780047612099,0.8495028255050893,0.01483582330740668,0.9031493519819684,0.6758346168858432
reacher,4,1,1,2,472734,488246,0.013346102179364222,9.832596067476732e-05,0.013247776218689455,0.8653029899778478,0.026325286265970974,0.916077951970897,0.7111489983216815
reacher,4,1,1,3,472734,509237,0.01883332846342981,0.00013399470068543244,0.018699333762744377,1.3182845723786873,0.10657647091534292,0.9517106067863117,0.6831584692614734
reacher,4,1,2,3,488246,509237,0.021018310829264815,0.00017605470571816067,0.020842256123546656,1.5118366755499142,0.08025118464937182,0.8988198936176308,0.48965239750444906
reacher,4,2,0,1,503695,506439,0.010667087826548268,9.011615155109177e-05,0.010576971674997175,0.8142688477560422,6.991017498853717e-05,0.9010341064247467,0.6489472721940931
reacher,4,2,0,2,503695,499643,0.017952988636938366,0.00013152184898537156,0.017821466787952996,1.313793130613291,0.04271700786586893,0.9535695392400463,0.6862960261740501
reacher,4,2,0,3,503695,470375,0.02232015979003684,0.00014082002285313038,0.02217933976718371,1.530429947628615,0.1058793464794829,0.8881198199588514,0.47246227116061074
reacher,4,2,1,2,506439,499643,0.02061875987231218,0.0001679578147514664,0.020450802057560714,1.5076590761677908,0.0426470976908805,0.9024471380391512,0.49260858139305824
reacher,4,2,1,3,506439,470375,0.019527899034817307,0.000131762018773509,0.0193961370160438,1.3375914647497402,0.10580943630449444,0.9445355750021912,0.6642780720922705
reacher,4,2,2,3,499643,470375,0.013086675153677308,0.00010209960111452006,0.012984575552562787,0.8596528704174904,0.063162338613614,0.9144198831803635,0.7032087583794989
cube,4,0,0,1,386829,655486,0.11956126909328227,0.002181622937666648,0.11737964615561562,0.43969846495370024,0.30674483777960654,0.6891243513946004,0.3887119716707379
cube,4,0,0,2,386829,386320,0.1456559408189066,0.000435730870686099,0.1452202099482205,0.5887727634449975,0.26973500640511283,0.5725981584647434,0.2279235232337977
cube,4,0,0,3,386829,551517,0.3265671465254474,0.0006077780468256165,0.3259593684786218,1.0863456367680082,0.43952585301026664,0.621666604124543,0.6130733451721998
cube,4,0,1,2,655486,386320,0.19985440506956934,0.001877543123410859,0.1979768619461585,0.626662977650403,0.037009831374493735,0.6504487628334102,0.2784105129622254
cube,4,0,1,3,655486,551517,0.30009757127761555,0.0018910496725385642,0.298206521605077,0.788563753601364,0.13278101523066005,0.7157289469153773,0.3626491844909514
cube,4,0,2,3,386320,551517,0.3259263505178696,0.0006306024581386187,0.325295748059731,0.8881737773899703,0.16979084660515367,0.5689453854407478,0.47128806969015147
