task,num_clusters,partition_seed,mean_pairwise_response,minimum_pairwise_response,pairwise_uniformity_min_over_mean
tworoom,2,0,0.0551810981566744,0.0551810981566744,1.0
tworoom,2,1,0.0551479210533206,0.0551479210533206,1.0
tworoom,2,2,0.0549876098687718,0.0549876098687718,1.0
tworoom,3,0,0.1951940097997871,0.0793156990295625,0.4063428950043992
tworoom,3,1,0.1966460879173646,0.0789521068854506,0.401493402292489
tworoom,3,2,0.1930426245417643,0.076080229332538,0.3941110390160399
tworoom,4,0,0.2686945338790003,0.1020611116662642,0.3798406695992739
tworoom,4,1,0.2659581987811114,0.1049977654392194,0.3947904818141538
tworoom,4,2,0.2701579926576081,0.1068231141669784,0.3954097863851231
pusht,2,0,0.0353835821591691,0.0353835821591691,1.0
pusht,2,1,0.03480320103147,0.03480320103147,1.0
pusht,2,2,0.0343570279048037,0.0343570279048037,1.0
pusht,3,0,0.0489896218805877,0.0441575574147218,0.9013655488575908
pusht,3,1,0.0440681284357844,0.0397862615888016,0.902835291650238
pusht,3,2,0.0451538900905417,0.0407655881631328,0.9028145322892543
pusht,4,0,0.0627824823459003,0.0539139140373616,0.858741356232502
pusht,4,1,0.0581847935179172,0.0507652163976268,0.8724825393080473
pusht,4,2,0.0584887912083113,0.0494498333494968,0.8454582891511343
reacher,2,0,0.0157208808851544,0.0157208808851544,1.0
reacher,2,1,0.0154581797390617,0.0154581797390617,1.0
reacher,2,2,0.0155852245764696,0.0155852245764696,1.0
reacher,3,0,0.0177505648897419,0.0099790712632384,0.5621833065721386
reacher,3,1,0.0176069040101681,0.0101102096777285,0.5742184811077389
reacher,3,2,0.0178995466848903,0.010522852930565,0.5878837668804047
reacher,4,0,0.0173830372927262,0.0116450965594421,0.6699114983959042
reacher,4,1,0.0174266295682847,0.0110412943519207,0.6335874822297916
reacher,4,2,0.017362261719055,0.0106670878265482,0.6143835405292366
cube,2,0,0.137861384957118,0.137861384957118,1.0
cube,2,1,0.1377031244174439,0.1377031244174439,1.0
cube,2,2,0.1396200229741743,0.1396200229741743,1.0
cube,3,0,0.2345098267850095,0.1258078256288091,0.5364714449435223
cube,3,1,0.2404544771193197,0.1257808154225263,0.5230961674301065
cube,3,2,0.2452283752759956,0.1251101251893956,0.5101780128363562
cube,4,0,0.2362771138837817,0.1195612690932822,0.5060213709572022
cube,4,1,0.2344650276135609,0.1137372076771908,0.4850924201141395
cube,4,2,0.2431099270459707,0.1195627231439325,0.4918051870474378
