task,num_clusters,partition_seed,transition_count,action_dim,minimum_pairwise_response,mean_pairwise_response,pairwise_uniformity_min_over_mean
tworoom,2,0,891463,2,0.05518109815667449,0.05518109815667449,1.0
tworoom,2,1,891463,2,0.05514792105332066,0.05514792105332066,1.0
tworoom,2,2,891463,2,0.054987609868771894,0.054987609868771894,1.0
tworoom,3,0,891463,2,0.07931569902956259,0.19519400979978715,0.40634289500439924
tworoom,3,1,891463,2,0.07895210688545065,0.19664608791736468,0.401493402292489
tworoom,3,2,891463,2,0.07608022933253804,0.19304262454176438,0.3941110390160399
tworoom,4,0,891463,2,0.10206111166626426,0.2686945338790003,0.37984066959927393
tworoom,4,1,891463,2,0.10499776543921946,0.2659581987811114,0.3947904818141538
tworoom,4,2,891463,2,0.10682311416697848,0.27015799265760815,0.3954097863851231
pusht,2,0,2281233,2,0.03538358215916912,0.03538358215916912,1.0
pusht,2,1,2281233,2,0.03480320103147003,0.03480320103147003,1.0
pusht,2,2,2281233,2,0.034357027904803744,0.034357027904803744,1.0
pusht,3,0,2281233,2,0.044157557414721826,0.04898962188058775,0.9013655488575909
pusht,3,1,2281233,2,0.039786261588801615,0.04406812843578447,0.9028352916502379
pusht,3,2,2281233,2,0.04076558816313286,0.045153890090541764,0.9028145322892543
pusht,4,0,2281233,2,0.05391391403736162,0.06278248234590039,0.858741356232502
pusht,4,1,2281233,2,0.05076521639762688,0.05818479351791728,0.8724825393080473
pusht,4,2,2281233,2,0.049449833349496854,0.05848879120831139,0.8454582891511343
reacher,2,0,1980152,2,0.015720880885154463,0.015720880885154463,1.0
reacher,2,1,1980152,2,0.015458179739061776,0.015458179739061776,1.0
reacher,2,2,1980152,2,0.015585224576469603,0.015585224576469603,1.0
reacher,3,0,1980152,2,0.009979071263238434,0.017750564889741943,0.5621833065721386
reacher,3,1,1980152,2,0.010110209677728526,0.017606904010168175,0.5742184811077389
reacher,3,2,1980152,2,0.010522852930565024,0.017899546684890393,0.5878837668804047
reacher,4,0,1980152,2,0.011645096559442137,0.017383037292726267,0.6699114983959042
reacher,4,1,1980152,2,0.011041294351920763,0.017426629568284734,0.6335874822297916
reacher,4,2,1980152,2,0.010667087826548268,0.017362261719055045,0.6143835405292366
cube,2,0,1980152,5,0.13786138495711808,0.13786138495711808,1.0
cube,2,1,1980152,5,0.1377031244174439,0.1377031244174439,1.0
cube,2,2,1980152,5,0.13962002297417433,0.13962002297417433,1.0
cube,3,0,1980152,5,0.12580782562880918,0.2345098267850095,0.5364714449435223
cube,3,1,1980152,5,0.12578081542252637,0.2404544771193197,0.5230961674301065
cube,3,2,1980152,5,0.12511012518939568,0.2452283752759956,0.5101780128363562
cube,4,0,1980152,5,0.11956126909328227,0.23627711388378178,0.5060213709572022
cube,4,1,1980152,5,0.11373720767719081,0.2344650276135609,0.48509242011413956
cube,4,2,1980152,5,0.11956272314393258,0.2431099270459707,0.4918051870474378
