task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast
tworoom,2,0,0,1,447378,444085,0.05518109815667449,0.001165165332617213,0.054015932824057276
tworoom,2,1,0,1,450483,440980,0.05514792105332066,0.0012784780667837428,0.05386944298653692
tworoom,2,2,0,1,441882,449581,0.054987609868771894,0.0012523540290844512,0.05373525583968744
tworoom,3,0,0,1,307374,271397,0.07931569902956259,0.0010198033107288967,0.07829589571883369
tworoom,3,0,0,2,307374,312692,0.1990074699097379,0.007301531387552834,0.19170593852218507
tworoom,3,0,1,2,271397,312692,0.307258860460061,0.005134349942088038,0.30212451051797296
tworoom,3,1,0,1,272015,308398,0.07895210688545065,0.00086999749500064,0.07808210939045002
tworoom,3,1,0,2,272015,311050,0.3090899760123967,0.005323161330233549,0.30376681468216316
tworoom,3,1,1,2,308398,311050,0.2018961808542466,0.007233257824363984,0.1946629230298826
tworoom,3,2,0,1,307702,305740,0.20250068974637078,0.007030545898822027,0.19547014384754877
tworoom,3,2,0,2,307702,278021,0.07608022933253804,0.0010153801096820817,0.07506484922285596
tworoom,3,2,1,2,305740,278021,0.3005469545463843,0.0048312843887760235,0.2957156701576083
tworoom,4,0,0,1,215723,288264,0.3189826640825457,0.00810064608442506,0.31088201799812065
tworoom,4,0,0,2,215723,164709,0.41346908292017903,0.01151198343150063,0.4019570994886784
tworoom,4,0,0,3,215723,222767,0.4304674689899702,0.007135671905211068,0.4233317970847591
tworoom,4,0,1,2,288264,164709,0.10206111166626426,0.00216393412530581,0.09989717754095845
tworoom,4,0,1,3,288264,222767,0.11619822898606616,0.0008831683277865966,0.11531506065827957
tworoom,4,0,2,3,164709,222767,0.23098864662897653,0.0032673218294217085,0.22772132479955481
tworoom,4,1,0,1,285928,230742,0.11477269910453346,0.001058227296229376,0.11371447180830409
tworoom,4,1,0,2,285928,160432,0.10499776543921946,0.0023720124201630837,0.10262575301905638
tworoom,4,1,0,3,285928,214361,0.31229475111223204,0.0070020562732586705,0.30529269483897337
tworoom,4,1,1,2,230742,160432,0.23688294687818753,0.0037941623806435148,0.23308878449754403
tworoom,4,1,1,3,230742,214361,0.4192955405399159,0.006039098860746342,0.4132564416791696
tworoom,4,1,2,3,160432,214361,0.4075054896125798,0.011012853273908395,0.39649263633867143
tworoom,4,2,0,1,283809,233161,0.11527257245020844,0.0010622570986992587,0.11421031535150919
tworoom,4,2,0,2,283809,177169,0.10682311416697848,0.0032190632821439873,0.1036040508848345
tworoom,4,2,0,3,283809,197324,0.32800617202927734,0.007173889545467022,0.3208322824838103
tworoom,4,2,1,2,233161,177169,0.22881498993064145,0.0035422297538778716,0.22527276017676356
tworoom,4,2,1,3,233161,197324,0.4444245641903731,0.007132944349293979,0.4372916198410791
tworoom,4,2,2,3,177169,197324,0.39760654317816985,0.011872304019786424,0.3857342391583834
pusht,2,0,0,1,973110,1308123,0.03538358215916912,0.004140399651348254,0.031243182507820867
pusht,2,1,0,1,1293843,987390,0.03480320103147003,0.004132201811953486,0.030670999219516545
pusht,2,2,0,1,1036018,1245215,0.034357027904803744,0.003916870465095692,0.03044015743970805
pusht,3,0,0,1,793626,1027923,0.050391136959175235,0.006088890510907873,0.044302246448267364
pusht,3,0,0,2,793626,459684,0.044157557414721826,0.006087347345066024,0.0380702100696558
pusht,3,0,1,2,1027923,459684,0.0524201712678662,0.006174854866654744,0.04624531640121146
pusht,3,1,0,1,707851,626200,0.04611394155543942,0.0046321485342689555,0.041481793021170464
pusht,3,1,0,2,707851,947182,0.039786261588801615,0.00578030991073321,0.034005951678068407
pusht,3,1,1,2,626200,947182,0.04630418216311234,0.007064063291838484,0.039240118871273856
pusht,3,2,0,1,620549,922181,0.04727557375018472,0.006129023932910303,0.04114654981727442
pusht,3,2,0,2,620549,738503,0.0474205083583077,0.004889708105552159,0.042530800252755546
pusht,3,2,1,2,922181,738503,0.04076558816313286,0.005402822392854266,0.035362765770278595
pusht,4,0,0,1,529717,628468,0.07478339622855502,0.00849567028200338,0.06628772594655165
pusht,4,0,0,2,529717,386234,0.05952975044809969,0.009062161422329401,0.05046758902577029
pusht,4,0,0,3,529717,736814,0.05593039486896895,0.007497243583831312,0.048433151285137636
pusht,4,0,1,2,628468,386234,0.07102003196382752,0.009657449637808823,0.06136258232601869
pusht,4,0,1,3,628468,736814,0.06151740652858958,0.007356592500964783,0.05416081402762479
pusht,4,0,2,3,386234,736814,0.05391391403736162,0.00808611639514371,0.04582779764221791
pusht,4,1,0,1,565546,712706,0.05076521639762688,0.006340743123204756,0.04442447327442212
pusht,4,1,0,2,565546,617443,0.06295126150376695,0.012033707594655815,0.05091755390911114
pusht,4,1,0,3,565546,385538,0.05342515071681408,0.007176389307419629,0.04624876140939445
pusht,4,1,1,2,712706,617443,0.053294292250160885,0.010579736815797275,0.04271455543436361
pusht,4,1,1,3,712706,385538,0.056161981649399846,0.006463051704887114,0.049698929944512735
pusht,4,1,2,3,617443,385538,0.07251085858973502,0.013314007880766903,0.059196850708968116
pusht,4,2,0,1,647197,679832,0.054834322474168376,0.010604921656985202,0.04422940081718317
pusht,4,2,0,2,647197,553805,0.06927641980477502,0.013126183399354301,0.05615023640542072
pusht,4,2,0,3,647197,400399,0.07222282930225198,0.012609714017413244,0.05961311528483874
pusht,4,2,1,2,679832,553805,0.049449833349496854,0.0061066285126529715,0.04334320483684388
pusht,4,2,1,3,679832,400399,0.050767961675940255,0.005126633753193483,0.04564132792274677
pusht,4,2,2,3,553805,400399,0.05438138064323588,0.00725144840349501,0.04712993223974087
reacher,2,0,0,1,983902,996250,0.015720880885154463,0.00020213841380453505,0.01551874247134993
reacher,2,1,0,1,984110,996042,0.015458179739061776,0.00019004847254138003,0.015268131266520397
reacher,2,2,0,1,986968,993184,0.015585224576469603,0.00020257032459980912,0.015382654251869793
reacher,3,0,0,1,788478,601542,0.021204976599270793,0.00020793791287510445,0.02099703868639569
reacher,3,0,0,2,788478,590132,0.022067646806716596,0.0002296850312571223,0.021837961775459474
reacher,3,0,1,2,601542,590132,0.009979071263238434,0.0001052700934974224,0.009873801169741011
reacher,3,1,0,1,598515,798544,0.02120559442135876,0.0002443630134738987,0.02096123140788486
reacher,3,1,0,2,598515,583093,0.010110209677728526,9.685176271151277e-05,0.010013357915017014
reacher,3,1,1,2,798544,583093,0.021504907931417235,0.00021452513126065235,0.021290382800156583
reacher,3,2,0,1,590023,791187,0.02262343253969767,0.00022229301671345455,0.022401139522984215
reacher,3,2,0,2,590023,598942,0.010522852930565024,0.00010127702437705907,0.010421575906187964
reacher,3,2,1,2,791187,598942,0.020552354584408485,0.00021466172881011574,0.02033769285559837
reacher,4,0,0,1,502998,487391,0.01827592577103102,0.0001311423197755487,0.01814478345125547
reacher,4,0,0,2,502998,497780,0.02029556944529476,0.0001310054402565224,0.020164564005038237
reacher,4,0,0,3,502998,491983,0.011645096559442137,0.00010417495140277795,0.01154092160803936
reacher,4,0,1,2,487391,497780,0.012565605162006258,0.00010229268626173104,0.012463312475744526
reacher,4,0,1,3,487391,491983,0.022986067230095504,0.0001929716212462105,0.022793095608849293
reacher,4,0,2,3,497780,491983,0.018529959588487934,0.00012766297105912787,0.018402296617428805
reacher,4,1,0,1,509935,472734,0.021976920499761642,0.00013942715415903435,0.02183749334560261
reacher,4,1,0,2,509935,488246,0.01834382108596716,0.0001280626679267462,0.018215758418040413
reacher,4,1,0,3,509935,509237,0.011041294351920763,9.349387579977242e-05,0.01094780047612099
reacher,4,1,1,2,472734,488246,0.013346102179364222,9.832596067476732e-05,0.013247776218689455
