task,num_clusters,mean_pairwise_response,minimum_pairwise_response,R_ij,per_seed_aggregation,method_11_mean_Rij,method_12_min_Rij
cube,2,0.1383948441162454,0.1383948441162454,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.1383948441162454,0.1383948441162454
cube,3,0.2400642263934416,0.125566255413577,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.2400642263934416,0.125566255413577
cube,4,0.23795068951443776,0.1176203999714685,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.23795068951443776,0.1176203999714685
pusht,2,0.03484793703181427,0.03484793703181427,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.03484793703181427,0.03484793703181427
pusht,3,0.0460705468023046,0.0415698023888854,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.0460705468023046,0.0415698023888854
pusht,4,0.059818689024042936,0.05137632126149507,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.059818689024042936,0.05137632126149507
reacher,2,0.015588095066895234,0.015588095066895234,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.015588095066895234,0.015588095066895234
reacher,3,0.017752338528266767,0.010204044623843967,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.017752338528266767,0.010204044623843967
reacher,4,0.017390642860021968,0.011117826245970333,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.017390642860021968,0.011117826245970333
tworoom,2,0.055105543026255595,0.055105543026255595,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.055105543026255595,0.055105543026255595
tworoom,3,0.19496090741963867,0.0781160117491837,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.19496090741963867,0.0781160117491837
tworoom,4,0.26827024177257325,0.10462733042415401,pairwise_response_contrast,"arithmetic mean over partition seeds 0,1,2",0.26827024177257325,0.10462733042415401
