task,model,num_clusters,partition_seed,region_left,region_right,q_ij,pair_weight,intercept_contribution,orientation_contribution
cube,subjepa,2,0,0,1,0.22077330948903973,1.0,0.0019781335648920606,0.12260700317833229
cube,subjepa,2,1,0,1,0.22299695241039663,1.0,0.001971856902513515,0.12018598225781774
cube,subjepa,2,2,0,1,0.22442933529925146,1.0,0.002045944845161454,0.12012184898468346
cube,subjepa,3,0,0,1,0.1755263575113493,0.2931340984643606,0.0012075436828584405,0.029686238117655556
cube,subjepa,3,0,0,2,0.28386025367274326,0.2814694011941344,0.00012620073158374566,0.06421627156759126
cube,subjepa,3,0,1,2,0.18841277544502255,0.42539650034150495,0.0011266315672276745,0.0902673289591776
cube,subjepa,3,1,0,1,0.1746796249533876,0.29947605654906506,0.0011460770107491465,0.030564366152835074
cube,subjepa,3,1,0,2,0.1884765217720998,0.4200381757119956,0.0010365217851478236,0.09100291733265807
cube,subjepa,3,1,1,2,0.286441523322905,0.28048576773893924,0.00014225153267154468,0.06478642130333598
cube,subjepa,3,2,0,1,0.29014775777727575,0.27366100678041494,0.0001388616565596246,0.06403213293580072
cube,subjepa,3,2,0,2,0.1767917644255417,0.30021423714306195,0.0011484492021621494,0.02971528242149741
cube,subjepa,3,2,1,2,0.18748418514082896,0.4261247560765232,0.00110117097098653,0.09419331648640811
cube,subjepa,4,0,0,1,0.19435598583696345,0.13952105653886526,0.0006029878985727935,0.00532629940112634
cube,subjepa,4,0,0,2,0.11396176161787923,0.07842275380123846,7.097918479967578e-05,0.014718719088586721
cube,subjepa,4,0,0,3,0.30653667258820033,0.14055498091631385,0.0001413414029051991,0.03271799910394683
cube,subjepa,4,0,1,2,0.1392052564820255,0.17433733660187256,0.0005182591676309509,0.030378978588546865
cube,subjepa,4,0,1,3,0.1813245922464709,0.29734542662271557,0.0007451980684284071,0.06359696373047163
cube,subjepa,4,0,2,3,0.2356440348464104,0.16981844551899414,0.00014645635296028114,0.03553268289623518
cube,subjepa,4,1,0,1,0.24250458877922457,0.1707737449439177,0.0001663133935536084,0.03527674869608016
cube,subjepa,4,1,0,2,0.13833659788456532,0.17636868949176998,0.0005061863259822669,0.031738292304814515
cube,subjepa,4,1,0,3,0.10245156493728592,0.08366652178334785,8.12836983313041e-05,0.016023180617376866
cube,subjepa,4,1,1,2,0.1882774930751743,0.2851818396490407,0.0006842601384929794,0.05949929878824151
cube,subjepa,4,1,1,3,0.30699577472026873,0.14208987313318172,0.00015143285280668823,0.03097508760570228
cube,subjepa,4,1,2,3,0.1893655818391166,0.14191933099874196,0.000626148915018306,0.004446876100389514
cube,subjepa,4,2,0,1,0.13872201253848032,0.17681605824049018,0.00047601962800173243,0.03225919276619517
cube,subjepa,4,2,0,2,0.10881640121506128,0.0822362971567692,7.366500607142679e-05,0.015724971745305464
cube,subjepa,4,2,0,3,0.23731888703015025,0.17190027663800564,0.00017543765319584154,0.035797838232228534
cube,subjepa,4,2,1,2,0.19696080733625707,0.13977743613473376,0.0005980025546956098,0.004947615394459705
cube,subjepa,4,2,1,3,0.1840913170945622,0.2878237216683391,0.0006602932780808857,0.06160625242164166
cube,subjepa,4,2,2,3,0.3125410827269684,0.14144621016166223,0.0001447828311308835,0.03245206688173088
pusht,subjepa,2,0,0,1,0.2348704208629508,1.0,0.03114136891305085,0.00012029366312144707
pusht,subjepa,2,1,0,1,0.2315028899738066,1.0,0.031194383628946654,3.5393845979972386e-05
pusht,subjepa,2,2,0,1,0.23047451022794924,1.0,0.029663220282073827,5.471038364135739e-05
pusht,subjepa,3,0,0,1,0.26857784886822567,0.5195078865500653,0.0191867145066824,7.258267327278217e-05
pusht,subjepa,3,0,0,2,0.2664769976549394,0.2007574717896634,0.008578065067513062,0.0001498857241204914
pusht,subjepa,3,0,1,2,0.30148951536230884,0.2797346416602713,0.011270228038557815,6.901322387697902e-05
pusht,subjepa,3,1,0,1,0.2869072333301178,0.2486498683134859,0.007971647190329152,4.82086343934415e-05
pusht,subjepa,3,1,0,2,0.22976465128293788,0.38526120382130025,0.01504655541960304,4.906079519501722e-07
pusht,subjepa,3,1,1,2,0.2465149978520913,0.36608892786521385,0.01626716082902459,0.00011593378319448911
pusht,subjepa,3,2,0,1,0.254692504013592,0.3523876610848111,0.013395680313069506,0.00017997819752640912
pusht,subjepa,3,2,0,2,0.2843408836412129,0.2613814326124352,0.00855839812846308,0.00011972795293855023
pusht,subjepa,3,2,1,2,0.2381258973711658,0.3862309063027537,0.014053041615691472,8.939927555441844e-06
pusht,subjepa,4,0,0,1,0.32589626818917616,0.19171263344326875,0.008010180334119621,2.1244048107299366e-05
pusht,subjepa,4,0,0,2,0.30392896862287405,0.09601988562044723,0.005251021189925435,5.995097155078434e-05
pusht,subjepa,4,0,0,3,0.273002071778417,0.19577045590710787,0.008287450843910821,9.225107444290865e-05
pusht,subjepa,4,0,1,2,0.3289567405605139,0.12810868052955457,0.006639168447055741,4.2476144631952944e-05
pusht,subjepa,4,0,1,3,0.27388047240922975,0.25933375514261514,0.009647955750793937,3.871037568396699e-06
pusht,subjepa,4,0,2,3,0.2850999163458368,0.12905458935700648,0.006517273155711763,0.0001429777608096098
pusht,subjepa,4,1,0,1,0.29925959407911873,0.17693148585131677,0.0075649827960749235,5.328868100313739e-05
pusht,subjepa,4,1,0,2,0.25719533772747355,0.2045117266844157,0.012438090033904323,2.9132093672571847e-05
pusht,subjepa,4,1,0,3,0.29547944213799154,0.10060601085047247,0.004631594728105502,0.00012164020218766283
pusht,subjepa,4,1,1,2,0.21992035861148,0.25249830722388544,0.013780709755904416,0.00010862292438465369
pusht,subjepa,4,1,1,3,0.3267786404677633,0.12351943256550112,0.005256596853144013,5.8141592726980254e-05
pusht,subjepa,4,1,2,3,0.2927452414437472,0.14193303682440855,0.009381284494594244,0.00016092269722838454
pusht,subjepa,4,2,0,1,0.22516212579003492,0.2521716148368338,0.01363969035362316,0.00010685753086771255
pusht,subjepa,4,2,0,2,0.2705191055783344,0.2173458715759364,0.013752789121799489,3.447418991191944e-05
pusht,subjepa,4,2,0,3,0.2865016823962815,0.15711954579745688,0.00955198572299617,0.0001425226967897255
pusht,subjepa,4,2,1,2,0.3006256166948177,0.15831860419829447,0.006720768322213626,0.00010757581288509901
