task,model,num_clusters,partition_seed,transition_count,response_scale,q_min,q_max,r_b,r_orient,r_pair,min_region_fraction,max_region_fraction,identity_lhs,identity_rhs
cube,subjepa,2,0,1980152,0.04819413886458147,0.22077330948903973,0.22077330948903973,0.0019781335648920606,0.12260700317833229,0.0,0.4987339355766628,0.5012660644233372,0.3453584462322641,0.3453584462322641
cube,subjepa,2,1,1980152,0.04816608047299976,0.22299695241039663,0.22299695241039663,0.001971856902513515,0.12018598225781774,0.0,0.49726081634137176,0.5027391836586282,0.34515479157072787,0.34515479157072787
cube,subjepa,2,2,1980152,0.04862076718168518,0.22442933529925146,0.22442933529925146,0.002045944845161454,0.12012184898468346,0.0,0.4915046925690553,0.5084953074309447,0.3465971291290964,0.3465971291290964
cube,subjepa,3,0,1980152,0.09112425392220998,0.1755263575113493,0.28386025367274326,0.0024603759816698607,0.18416983864442443,0.03597451397249771,0.2924962326124459,0.39418236579818117,0.3981310861099413,0.3981310861099413
cube,subjepa,3,1,1980152,0.09187421802709547,0.1746796249533876,0.286441523322905,0.0023248503285685147,0.18635370478882912,0.03714284523835391,0.2827267805703805,0.397827035500305,0.40050102530913906,0.40050102530913917
cube,subjepa,3,2,1980152,0.09239124710566113,0.1767917644255417,0.29014775777727575,0.0023884818297083043,0.18794073184370624,0.035577420434398904,0.2775231396377652,0.40746114439699577,0.4026983985333552,0.4026983985333552
cube,subjepa,4,0,1980152,0.11299023917610995,0.11396176161787923,0.30653667258820033,0.0022252220752973077,0.18227164280891356,0.0833788577988607,0.19509613403415496,0.3310281230935807,0.38183748430095077,0.38183748430095077
cube,subjepa,4,1,1980152,0.11266818726880368,0.10245156493728592,0.30699577472026873,0.0022156253241851533,0.17795948411260484,0.09612081163274978,0.20000232305398777,0.32765615972915213,0.3787474860068257,0.3787474860068257
cube,subjepa,4,2,1980152,0.11511552804215075,0.10881640121506128,0.3125410827269684,0.00212820095117638,0.1827879374415614,0.09017999482396381,0.2005654111401549,0.3287868810071146,0.3839125344317629,0.38391253443176293
pusht,subjepa,2,0,2281233,0.06149120622532737,0.2348704208629508,0.2348704208629508,0.03114136891305085,0.00012029366312144707,0.0,0.4265719459608028,0.5734280540391973,0.26613208343912315,0.2661320834391231
pusht,subjepa,2,1,2281233,0.061485590907968256,0.2315028899738066,0.2315028899738066,0.031194383628946654,3.5393845979972386e-05,0.0,0.432831718636369,0.567168281363631,0.26273266744873325,0.2627326674487332
pusht,subjepa,2,2,2281233,0.061891425856973874,0.23047451022794924,0.23047451022794924,0.029663220282073827,5.471038364135739e-05,0.0,0.45414826105005496,0.5458517389499451,0.26019244089366445,0.26019244089366445
pusht,subjepa,3,0,2281233,0.09406151152952687,0.2664769976549394,0.30148951536230884,0.03903500761275328,0.0002914816212702526,0.010885622868265402,0.20150681670833273,0.45059974145560755,0.3166891097572283,0.3166891097572283
pusht,subjepa,3,1,2281233,0.0935809073982885,0.22976465128293788,0.2869072333301178,0.03928536343895678,0.00016463302553988078,0.02034061191799599,0.27450067573106296,0.41520616263222565,0.28955525966543055,0.2895552596654305
pusht,subjepa,3,2,2281233,0.09512983072207942,0.2381258973711658,0.2843408836412129,0.03600712005722406,0.0003086460780204012,0.0179176070862656,0.2720235065861313,0.40424673849624304,0.29235927059267586,0.29235927059267586
pusht,subjepa,4,0,2281233,0.12828632581484464,0.273002071778417,0.3289567405605139,0.04435304972151732,0.0003627710371109518,0.02206744286937652,0.1693093164968243,0.32298936583856186,0.3397853354064218,0.3397853354064218
pusht,subjepa,4,1,2281233,0.12274632430442253,0.21992035861148,0.3267786404677633,0.05305325866172742,0.0005317481912033905,0.05279780825243208,0.1690042183328051,0.3124213966745177,0.3263031737168429,0.32630317371684286
pusht,subjepa,4,2,2281233,0.12429079995958814,0.22516212579003492,0.31694888855118014,0.05244492168448787,0.0004634308407771166,0.04981798385614568,0.1755186778378184,0.2980107687377835,0.32788846217144557,0.32788846217144557
reacher,subjepa,2,0,1980152,0.048637063193265655,0.1255285696047011,0.1255285696047011,0.011390352608003158,0.7489412822879642,0.0,0.4968820575390172,0.5031179424609828,0.8858602045006683,0.8858602045006685
reacher,subjepa,2,1,1980152,0.04794851618745172,0.1272939648663413,0.1272939648663413,0.01086290518288325,0.7454110879559782,0.0,0.4969870999802035,0.5030129000197965,0.8835679580052028,0.8835679580052027
reacher,subjepa,2,2,1980152,0.04825197810302464,0.1262534892269112,0.1262534892269112,0.011506121861243399,0.747490948518609,0.0,0.4984304235230427,0.5015695764769573,0.8852505596067636,0.8852505596067636
reacher,subjepa,3,0,1980152,0.0946832758274854,0.1944064296175104,0.319922667771933,0.0071719037316525566,0.465996093177198,0.03725295933230545,0.2980235860681402,0.3981906439505654,0.7048273858586663,0.7048273858586663
reacher,subjepa,3,1,1980152,0.0938070294832215,0.20351257271205506,0.316408219419441,0.007465734183966342,0.4656669454614525,0.029053833275397477,0.2944688084551085,0.40327409208990017,0.7056990856328713,0.7056990856328713
reacher,subjepa,3,2,1980152,0.09522587757738193,0.19739664494121553,0.3278513998802699,0.007084485107213358,0.4601541003258617,0.04060093613948391,0.2979685397888647,0.3995587207446701,0.7052361665137744,0.7052361665137745
reacher,subjepa,4,0,1980152,0.1154791399119632,0.2320528366355798,0.3544543288358582,0.00467501505396915,0.3028263407115925,0.07887617516087726,0.24613817525119283,0.2540198934223231,0.6184303675620186,0.6184303675620187
reacher,subjepa,4,1,1980152,0.1156679165182651,0.24149159716798851,0.3555744991629593,0.004556479018757551,0.3017969658135207,0.07030097074383318,0.23873621822971167,0.25752315983823465,0.6181460127441,0.6181460127440999
reacher,subjepa,4,2,1980152,0.11524858131593543,0.23623113558178926,0.3516043791918735,0.004544831231142953,0.3076528751974844,0.06954235528522534,0.23754489554337244,0.2557576388075259,0.617971197295642,0.617971197295642
tworoom,subjepa,2,0,891463,0.8822500943335769,0.2536222873172855,0.2536222873172855,0.005770996241837001,0.013915491743434705,0.0,0.4981530360766515,0.5018469639233485,0.27330877530255715,0.2733087753025572
tworoom,subjepa,2,1,891463,0.8847322387899315,0.25263720891479463,0.25263720891479463,0.006313830973423112,0.013399860070745983,0.0,0.4946699975209291,0.5053300024790709,0.2723508999589637,0.2723508999589638
tworoom,subjepa,2,2,891463,0.8831295121048706,0.2524555814657022,0.2524555814657022,0.006196282386389452,0.01341078823089218,0.0,0.4956818174169876,0.5043181825830124,0.2720626520829838,0.27206265208298386
tworoom,subjepa,3,0,891463,2.3079943105974148,0.27659457728612596,0.3397359318948858,0.011650704696740146,0.18020936185701464,0.025364636017437436,0.3044400048010966,0.3507627349648836,0.4938192798573181,0.49381927985731816
tworoom,subjepa,3,1,891463,2.319760807701221,0.2773113269666404,0.33856054110304923,0.011541132644058871,0.18144847219198817,0.02408343635415046,0.3051332472575979,0.3489208189234999,0.49438436815683795,0.4943843681568379
tworoom,subjepa,3,2,891463,2.3010720174350934,0.28915084408860126,0.33712991094322015,0.011077621818335905,0.17166372251481637,0.01660031662149749,0.3118704870533045,0.34516519474167745,0.48849250504325104,0.488492505043251
tworoom,subjepa,4,0,891463,3.4320562131702665,0.26676621422856417,0.4159969596397416,0.009837316548205782,0.16152552697057887,0.04889939877778712,0.18476257567616378,0.3233605881567715,0.487028456525136,0.48702845652513593
tworoom,subjepa,4,1,891463,3.4086356580898767,0.2693911131550354,0.4249873656548598,0.00919939122076022,0.1604405700973776,0.045250089448050625,0.17996484430649393,0.3207401765412586,0.4842811639212239,0.4842811639212239
tworoom,subjepa,4,2,891463,3.4451711659663413,0.27284355007601735,0.4248095221246292,0.00972601118144826,0.14578045121559802,0.05153325511654127,0.19873959996096305,0.31836318501160454,0.47988326758960487,0.4798832675896049
