task,model,num_clusters,partition_seed_count,q_min_mean,q_min_min,q_min_max,observed_epsilon_b,observed_epsilon_orient,observed_epsilon_pair,min_region_fraction,max_identity_error
cube,subjepa,2,3,0.22273319906622926,0.22077330948903973,0.22442933529925146,0.002045944845161454,0.12260700317833229,0.0,0.4915046925690553,0.0
cube,subjepa,3,3,0.17566591563009284,0.1746796249533876,0.1767917644255417,0.0024603759816698607,0.18794073184370624,0.03714284523835391,0.2775231396377652,1.1102230246251565e-16
cube,subjepa,4,3,0.10840990925674214,0.10245156493728592,0.11396176161787923,0.0022252220752973077,0.1827879374415614,0.09612081163274978,0.19509613403415496,5.551115123125783e-17
pusht,subjepa,2,3,0.2322826070215689,0.23047451022794924,0.2348704208629508,0.031194383628946654,0.00012029366312144707,0.0,0.4265719459608028,5.551115123125783e-17
pusht,subjepa,3,3,0.24478918210301437,0.22976465128293788,0.2664769976549394,0.03928536343895678,0.0003086460780204012,0.02034061191799599,0.20150681670833273,5.551115123125783e-17
pusht,subjepa,4,3,0.239361518726644,0.21992035861148,0.273002071778417,0.05305325866172742,0.0005317481912033905,0.05279780825243208,0.1690042183328051,5.551115123125783e-17
reacher,subjepa,2,3,0.12635867456598454,0.1255285696047011,0.1272939648663413,0.011506121861243399,0.7489412822879642,0.0,0.4968820575390172,2.220446049250313e-16
reacher,subjepa,3,3,0.19843854909026035,0.1944064296175104,0.20351257271205506,0.007465734183966342,0.465996093177198,0.04060093613948391,0.2944688084551085,1.1102230246251565e-16
reacher,subjepa,4,3,0.23659185646178585,0.2320528366355798,0.24149159716798851,0.00467501505396915,0.3076528751974844,0.07887617516087726,0.23754489554337244,1.1102230246251565e-16
tworoom,subjepa,2,3,0.2529050258992607,0.2524555814657022,0.2536222873172855,0.006313830973423112,0.013915491743434705,0.0,0.4946699975209291,5.551115123125783e-17
tworoom,subjepa,3,3,0.2810189161137892,0.27659457728612596,0.28915084408860126,0.011650704696740146,0.18144847219198817,0.025364636017437436,0.3044400048010966,5.551115123125783e-17
tworoom,subjepa,4,3,0.26966695915320565,0.26676621422856417,0.27284355007601735,0.009837316548205782,0.16152552697057887,0.05153325511654127,0.17996484430649393,5.551115123125783e-17
