"horizon","method_id","method_label","mean_percent","sd_percent","n_finetuning_seeds","n_partition_seeds","n_eval_seeds","x_position","lower","upper"
"Short horizon","baseline","Official
baseline",64.8,NA,0,0,5,1,NA,NA
"Short horizon","joint3","Joint-Continue
3ep",64.53333333333335,1.4047538337136969,3,0,5,2,NA,NA
"Short horizon","globalft50","Global-FT
50ep",64.53333333333333,2.2030282189144392,3,0,5,3,NA,NA
"Short horizon","random","Random-Voronoi
K3-50",66.26666666666667,0.461880215351699,3,3,5,4,NA,NA
"Short horizon","kmeans","K-means++
K3-50",65.02222222222223,0.20367003088692862,3,3,5,5,NA,NA
"Short horizon","spectral","Spectral
K3-50",64.71111111111111,1.790509962531885,3,3,5,6,NA,NA
"Short horizon","autolap","Auto-LAP",64.53333333333333,2.2030282189144392,3,0,5,7,NA,NA
"Long horizon","baseline","Official
baseline",50.4,NA,0,0,5,1,NA,NA
"Long horizon","joint3","Joint-Continue
3ep",51.6,0.8000000000000007,3,0,5,2,NA,NA
"Long horizon","globalft50","Global-FT
50ep",48.13333333333333,0.9237604307034021,3,0,5,3,NA,NA
"Long horizon","random","Random-Voronoi
K3-50",50.800000000000004,0.8110350040397638,3,3,5,4,NA,NA
"Long horizon","kmeans","K-means++
K3-50",49.955555555555556,0.5388602512436488,3,3,5,5,NA,NA
"Long horizon","spectral","Spectral
K3-50",49.68888888888889,0.3355481971231432,3,3,5,6,NA,NA
"Long horizon","autolap","Auto-LAP",48.13333333333333,0.9237604307034021,3,0,5,7,NA,NA
