method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,64.0
official,,,1,57.99999999999999
official,,,2,64.0
official,,,3,68.0
official,,,4,70.0
joint,0,,0,66.0
joint,0,,1,54.0
joint,0,,2,56.00000000000001
joint,0,,3,70.0
joint,0,,4,70.0
joint,42,,0,70.0
joint,42,,1,52.0
joint,42,,2,68.0
joint,42,,3,68.0
joint,42,,4,64.0
joint,625,,0,70.0
joint,625,,1,56.00000000000001
joint,625,,2,66.0
joint,625,,3,70.0
joint,625,,4,68.0
global,0,,0,68.0
global,0,,1,56.00000000000001
global,0,,2,62.0
global,0,,3,72.0
global,0,,4,72.0
global,42,,0,66.0
global,42,,1,60.0
global,42,,2,60.0
global,42,,3,72.0
global,42,,4,70.0
global,625,,0,64.0
global,625,,1,56.00000000000001
global,625,,2,57.99999999999999
global,625,,3,68.0
global,625,,4,64.0
random_voronoi,0,0,0,70.0
random_voronoi,0,0,1,57.99999999999999
random_voronoi,0,0,2,60.0
random_voronoi,0,0,3,70.0
random_voronoi,0,0,4,74.0
random_voronoi,0,1,0,70.0
random_voronoi,0,1,1,54.0
random_voronoi,0,1,2,62.0
random_voronoi,0,1,3,70.0
random_voronoi,0,1,4,74.0
random_voronoi,0,2,0,70.0
random_voronoi,0,2,1,52.0
random_voronoi,0,2,2,64.0
random_voronoi,0,2,3,72.0
random_voronoi,0,2,4,70.0
random_voronoi,42,0,0,66.0
random_voronoi,42,0,1,57.99999999999999
random_voronoi,42,0,2,66.0
random_voronoi,42,0,3,74.0
random_voronoi,42,0,4,74.0
random_voronoi,42,1,0,70.0
random_voronoi,42,1,1,62.0
random_voronoi,42,1,2,66.0
random_voronoi,42,1,3,70.0
random_voronoi,42,1,4,68.0
random_voronoi,42,2,0,66.0
random_voronoi,42,2,1,54.0
random_voronoi,42,2,2,62.0
random_voronoi,42,2,3,68.0
random_voronoi,42,2,4,66.0
random_voronoi,625,0,0,70.0
random_voronoi,625,0,1,57.99999999999999
random_voronoi,625,0,2,68.0
random_voronoi,625,0,3,70.0
random_voronoi,625,0,4,70.0
random_voronoi,625,1,0,72.0
random_voronoi,625,1,1,57.99999999999999
random_voronoi,625,1,2,64.0
random_voronoi,625,1,3,72.0
random_voronoi,625,1,4,70.0
random_voronoi,625,2,0,70.0
random_voronoi,625,2,1,52.0
random_voronoi,625,2,2,62.0
random_voronoi,625,2,3,72.0
random_voronoi,625,2,4,74.0
kmeanspp,0,0,0,72.0
kmeanspp,0,0,1,54.0
kmeanspp,0,0,2,56.00000000000001
kmeanspp,0,0,3,68.0
kmeanspp,0,0,4,70.0
kmeanspp,0,1,0,66.0
kmeanspp,0,1,1,60.0
kmeanspp,0,1,2,56.00000000000001
kmeanspp,0,1,3,74.0
kmeanspp,0,1,4,66.0
kmeanspp,0,2,0,70.0
kmeanspp,0,2,1,56.00000000000001
kmeanspp,0,2,2,62.0
kmeanspp,0,2,3,74.0
kmeanspp,0,2,4,72.0
kmeanspp,42,0,0,68.0
kmeanspp,42,0,1,52.0
kmeanspp,42,0,2,57.99999999999999
kmeanspp,42,0,3,66.0
kmeanspp,42,0,4,78.0
kmeanspp,42,1,0,68.0
kmeanspp,42,1,1,57.99999999999999
kmeanspp,42,1,2,60.0
kmeanspp,42,1,3,66.0
kmeanspp,42,1,4,70.0
kmeanspp,42,2,0,70.0
kmeanspp,42,2,1,54.0
kmeanspp,42,2,2,56.00000000000001
kmeanspp,42,2,3,74.0
kmeanspp,42,2,4,80.0
kmeanspp,625,0,0,68.0
kmeanspp,625,0,1,54.0
kmeanspp,625,0,2,60.0
kmeanspp,625,0,3,68.0
kmeanspp,625,0,4,70.0
kmeanspp,625,1,0,68.0
kmeanspp,625,1,1,60.0
kmeanspp,625,1,2,60.0
kmeanspp,625,1,3,66.0
kmeanspp,625,1,4,68.0
kmeanspp,625,2,0,62.0
kmeanspp,625,2,1,56.00000000000001
kmeanspp,625,2,2,60.0
kmeanspp,625,2,3,74.0
kmeanspp,625,2,4,78.0
spectral,0,0,0,66.0
spectral,0,0,1,60.0
spectral,0,0,2,66.0
spectral,0,0,3,68.0
spectral,0,0,4,70.0
spectral,0,1,0,68.0
spectral,0,1,1,57.99999999999999
spectral,0,1,2,66.0
spectral,0,1,3,66.0
spectral,0,1,4,66.0
spectral,0,2,0,62.0
spectral,0,2,1,57.99999999999999
spectral,0,2,2,64.0
spectral,0,2,3,74.0
spectral,0,2,4,78.0
spectral,42,0,0,66.0
spectral,42,0,1,54.0
spectral,42,0,2,62.0
spectral,42,0,3,70.0
spectral,42,0,4,70.0
spectral,42,1,0,70.0
spectral,42,1,1,57.99999999999999
spectral,42,1,2,66.0
spectral,42,1,3,72.0
spectral,42,1,4,70.0
spectral,42,2,0,60.0
spectral,42,2,1,57.99999999999999
spectral,42,2,2,64.0
spectral,42,2,3,70.0
spectral,42,2,4,72.0
spectral,625,0,0,64.0
spectral,625,0,1,48.0
spectral,625,0,2,57.99999999999999
spectral,625,0,3,68.0
spectral,625,0,4,68.0
spectral,625,1,0,64.0
spectral,625,1,1,56.00000000000001
spectral,625,1,2,62.0
spectral,625,1,3,70.0
spectral,625,1,4,68.0
spectral,625,2,0,60.0
spectral,625,2,1,54.0
spectral,625,2,2,62.0
spectral,625,2,3,66.0
spectral,625,2,4,72.0
