"horizon","method_id","method_label","mean_percent","sd_percent","n_finetuning_seeds","n_partition_seeds","n_eval_seeds","x_position","lower","upper"
"Short horizon","baseline","Official
baseline",86,NA,0,0,5,1,NA,NA
"Short horizon","joint3","Joint-Continue
3ep",89.0666666666667,1.00664459136943,3,0,5,2,88.0600220752972,90.0733112580361
"Short horizon","globalft50","Global-FT (LAP)
50ep",93.7333333333333,0.461880215351699,3,0,5,3,93.2714531179816,94.195213548685
"Short horizon","random","Random-Voronoi
K3-50",92.8,0.133333333333333,3,3,5,4,92.6666666666667,92.9333333333333
"Short horizon","kmeans","K-means++
K3-50",93.4666666666667,0.133333333333333,3,3,5,5,93.3333333333333,93.6
"Short horizon","spectral","Spectral
K3-50",93.4666666666667,0.533333333333331,3,3,5,6,92.9333333333333,94
"Long horizon","baseline","Official
baseline",37.2,NA,0,0,5,1,NA,NA
"Long horizon","joint3","Joint-Continue
3ep",36.5333333333333,0.461880215351699,3,0,5,2,36.0714531179816,36.995213548685
"Long horizon","globalft50","Global-FT (LAP)
50ep",40.4,0.399999999999999,3,0,5,3,40,40.8
"Long horizon","random","Random-Voronoi
K3-50",39.6,0.352766841475277,3,3,5,4,39.2472331585247,39.9527668414753
"Long horizon","kmeans","K-means++
K3-50",39.4222222222222,0.734342739638147,3,3,5,5,38.6878794825841,40.1565649618604
"Long horizon","spectral","Spectral
K3-50",38.5777777777778,1.14955708056689,3,3,5,6,37.4282206972109,39.7273348583447
