  [train] epoch 1/50  train_loss=0.016890  eval_loss=0.004987
  [train] epoch 2/50  train_loss=0.003823  eval_loss=0.003407
  [train] epoch 3/50  train_loss=0.003230  eval_loss=0.003010
  [train] epoch 4/50  train_loss=0.002939  eval_loss=0.002745
  [train] epoch 5/50  train_loss=0.002744  eval_loss=0.002607
  [train] epoch 6/50  train_loss=0.002606  eval_loss=0.002521
  [train] epoch 7/50  train_loss=0.002493  eval_loss=0.002402
  [train] epoch 8/50  train_loss=0.002399  eval_loss=0.002308
  [train] epoch 9/50  train_loss=0.002319  eval_loss=0.002262
  [train] epoch 10/50  train_loss=0.002257  eval_loss=0.002221
  [train] epoch 11/50  train_loss=0.002192  eval_loss=0.002105
  [train] epoch 12/50  train_loss=0.002143  eval_loss=0.002106
  [train] epoch 13/50  train_loss=0.002094  eval_loss=0.002041
  [train] epoch 14/50  train_loss=0.002052  eval_loss=0.002004
  [train] epoch 15/50  train_loss=0.002007  eval_loss=0.001956
  [train] epoch 16/50  train_loss=0.001976  eval_loss=0.001984
  [train] epoch 17/50  train_loss=0.001939  eval_loss=0.001930
  [train] epoch 18/50  train_loss=0.001911  eval_loss=0.001836
  [train] epoch 19/50  train_loss=0.001881  eval_loss=0.001852
  [train] epoch 20/50  train_loss=0.001851  eval_loss=0.001812
  [train] epoch 21/50  train_loss=0.001823  eval_loss=0.001797
  [train] epoch 22/50  train_loss=0.001805  eval_loss=0.001729
  [train] epoch 23/50  train_loss=0.001776  eval_loss=0.001743
  [train] epoch 24/50  train_loss=0.001753  eval_loss=0.001693
  [train] epoch 25/50  train_loss=0.001734  eval_loss=0.001726
  [train] epoch 26/50  train_loss=0.001714  eval_loss=0.001676
  [train] epoch 27/50  train_loss=0.001695  eval_loss=0.001656
  [train] epoch 28/50  train_loss=0.001676  eval_loss=0.001646
  [train] epoch 29/50  train_loss=0.001660  eval_loss=0.001621
  [train] epoch 30/50  train_loss=0.001644  eval_loss=0.001601
  [train] epoch 31/50  train_loss=0.001626  eval_loss=0.001555
  [train] epoch 32/50  train_loss=0.001613  eval_loss=0.001567
  [train] epoch 33/50  train_loss=0.001595  eval_loss=0.001575
  [train] epoch 34/50  train_loss=0.001580  eval_loss=0.001549
  [train] epoch 35/50  train_loss=0.001570  eval_loss=0.001548
  [train] epoch 36/50  train_loss=0.001553  eval_loss=0.001539
  [train] epoch 37/50  train_loss=0.001541  eval_loss=0.001499
  [train] epoch 38/50  train_loss=0.001529  eval_loss=0.001498
  [train] epoch 39/50  train_loss=0.001519  eval_loss=0.001476
  [train] epoch 40/50  train_loss=0.001508  eval_loss=0.001478
  [train] epoch 41/50  train_loss=0.001496  eval_loss=0.001464
  [train] epoch 42/50  train_loss=0.001489  eval_loss=0.001480
  [train] epoch 43/50  train_loss=0.001477  eval_loss=0.001434
  [train] epoch 44/50  train_loss=0.001464  eval_loss=0.001441
  [train] epoch 45/50  train_loss=0.001453  eval_loss=0.001432
  [train] epoch 46/50  train_loss=0.001443  eval_loss=0.001415
  [train] epoch 47/50  train_loss=0.001434  eval_loss=0.001405
  [train] epoch 48/50  train_loss=0.001424  eval_loss=0.001395
  [train] epoch 49/50  train_loss=0.001417  eval_loss=0.001382
  [train] epoch 50/50  train_loss=0.001410  eval_loss=0.001398
  [best] epoch 49  eval_loss=0.001382 (selected over 50 epochs)
[done] dataset=pusht train_seed=625 regions=1 -> experiments/pusht/matrix/training/global/train625
