method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,36.0
official,,,1,24.0
official,,,2,40.0
official,,,3,36.0
official,,,4,50.0
joint,0,,0,30.0
joint,0,,1,24.0
joint,0,,2,38.0
joint,0,,3,40.0
joint,0,,4,48.0
joint,42,,0,32.0
joint,42,,1,30.0
joint,42,,2,38.0
joint,42,,3,36.0
joint,42,,4,48.0
joint,625,,0,34.0
joint,625,,1,26.0
joint,625,,2,38.0
joint,625,,3,44.0
joint,625,,4,42.0
global,0,,0,34.0
global,0,,1,30.0
global,0,,2,46.0
global,0,,3,42.0
global,0,,4,50.0
global,42,,0,36.0
global,42,,1,30.0
global,42,,2,46.0
global,42,,3,44.0
global,42,,4,48.0
global,625,,0,32.0
global,625,,1,28.000000000000004
global,625,,2,42.0
global,625,,3,42.0
global,625,,4,56.00000000000001
random_voronoi,0,0,0,34.0
random_voronoi,0,0,1,28.000000000000004
random_voronoi,0,0,2,44.0
random_voronoi,0,0,3,42.0
random_voronoi,0,0,4,54.0
random_voronoi,0,1,0,32.0
random_voronoi,0,1,1,24.0
random_voronoi,0,1,2,44.0
random_voronoi,0,1,3,40.0
random_voronoi,0,1,4,48.0
random_voronoi,0,2,0,34.0
random_voronoi,0,2,1,34.0
random_voronoi,0,2,2,44.0
random_voronoi,0,2,3,38.0
random_voronoi,0,2,4,52.0
random_voronoi,42,0,0,36.0
random_voronoi,42,0,1,26.0
random_voronoi,42,0,2,44.0
random_voronoi,42,0,3,46.0
random_voronoi,42,0,4,46.0
random_voronoi,42,1,0,32.0
random_voronoi,42,1,1,28.000000000000004
random_voronoi,42,1,2,52.0
random_voronoi,42,1,3,38.0
random_voronoi,42,1,4,42.0
random_voronoi,42,2,0,36.0
random_voronoi,42,2,1,30.0
random_voronoi,42,2,2,46.0
random_voronoi,42,2,3,36.0
random_voronoi,42,2,4,52.0
random_voronoi,625,0,0,30.0
random_voronoi,625,0,1,28.000000000000004
random_voronoi,625,0,2,50.0
random_voronoi,625,0,3,40.0
random_voronoi,625,0,4,54.0
random_voronoi,625,1,0,38.0
random_voronoi,625,1,1,32.0
random_voronoi,625,1,2,44.0
random_voronoi,625,1,3,36.0
random_voronoi,625,1,4,40.0
random_voronoi,625,2,0,38.0
random_voronoi,625,2,1,32.0
random_voronoi,625,2,2,44.0
random_voronoi,625,2,3,38.0
random_voronoi,625,2,4,56.00000000000001
kmeanspp,0,0,0,36.0
kmeanspp,0,0,1,26.0
kmeanspp,0,0,2,46.0
kmeanspp,0,0,3,42.0
kmeanspp,0,0,4,44.0
kmeanspp,0,1,0,30.0
kmeanspp,0,1,1,34.0
kmeanspp,0,1,2,42.0
kmeanspp,0,1,3,46.0
kmeanspp,0,1,4,46.0
kmeanspp,0,2,0,34.0
kmeanspp,0,2,1,26.0
kmeanspp,0,2,2,46.0
kmeanspp,0,2,3,42.0
kmeanspp,0,2,4,46.0
kmeanspp,42,0,0,42.0
kmeanspp,42,0,1,22.0
kmeanspp,42,0,2,42.0
kmeanspp,42,0,3,40.0
kmeanspp,42,0,4,50.0
kmeanspp,42,1,0,34.0
kmeanspp,42,1,1,30.0
kmeanspp,42,1,2,50.0
kmeanspp,42,1,3,36.0
kmeanspp,42,1,4,57.99999999999999
kmeanspp,42,2,0,34.0
kmeanspp,42,2,1,26.0
kmeanspp,42,2,2,44.0
kmeanspp,42,2,3,40.0
kmeanspp,42,2,4,56.00000000000001
kmeanspp,625,0,0,40.0
kmeanspp,625,0,1,26.0
kmeanspp,625,0,2,42.0
kmeanspp,625,0,3,46.0
kmeanspp,625,0,4,44.0
kmeanspp,625,1,0,34.0
kmeanspp,625,1,1,26.0
kmeanspp,625,1,2,40.0
kmeanspp,625,1,3,42.0
kmeanspp,625,1,4,52.0
kmeanspp,625,2,0,34.0
kmeanspp,625,2,1,22.0
kmeanspp,625,2,2,46.0
kmeanspp,625,2,3,44.0
kmeanspp,625,2,4,46.0
spectral,0,0,0,38.0
spectral,0,0,1,28.000000000000004
spectral,0,0,2,42.0
spectral,0,0,3,34.0
spectral,0,0,4,52.0
spectral,0,1,0,34.0
spectral,0,1,1,32.0
spectral,0,1,2,40.0
spectral,0,1,3,38.0
spectral,0,1,4,44.0
spectral,0,2,0,28.000000000000004
spectral,0,2,1,22.0
spectral,0,2,2,38.0
spectral,0,2,3,42.0
spectral,0,2,4,48.0
spectral,42,0,0,32.0
spectral,42,0,1,24.0
spectral,42,0,2,48.0
spectral,42,0,3,42.0
spectral,42,0,4,42.0
spectral,42,1,0,32.0
spectral,42,1,1,26.0
spectral,42,1,2,50.0
spectral,42,1,3,44.0
spectral,42,1,4,46.0
spectral,42,2,0,34.0
spectral,42,2,1,26.0
spectral,42,2,2,48.0
spectral,42,2,3,44.0
spectral,42,2,4,44.0
spectral,625,0,0,34.0
spectral,625,0,1,30.0
spectral,625,0,2,44.0
spectral,625,0,3,44.0
spectral,625,0,4,48.0
spectral,625,1,0,34.0
spectral,625,1,1,28.000000000000004
spectral,625,1,2,40.0
spectral,625,1,3,46.0
spectral,625,1,4,46.0
spectral,625,2,0,34.0
spectral,625,2,1,32.0
spectral,625,2,2,44.0
spectral,625,2,3,42.0
spectral,625,2,4,48.0
