"horizon","method_id","method_label","mean_percent","sd_percent","n_finetuning_seeds","n_partition_seeds","n_eval_seeds","x_position","lower","upper"
"Short horizon","baseline","Official
baseline",87.2,NA,0,0,5,1,NA,NA
"Short horizon","joint3","Joint-Continue
3ep",84.5333333333333,1.80369990112916,3,0,5,2,82.7296334322042,86.3370332344625
"Short horizon","globalft50","Global-FT
50ep",82.9333333333333,1.00664459136943,3,0,5,3,81.9266887419639,83.9399779247028
"Short horizon","random","Random-Voronoi
K3-50",83.9555555555556,1.82005290928385,3,3,5,4,82.1355026462717,85.7756084648394
"Short horizon","kmeans","K-means++
K3-50",85.7333333333333,0.799999999999997,3,3,5,5,84.9333333333333,86.5333333333333
"Short horizon","spectral","Spectral
K3-50",84.0888888888889,0.601233300376387,3,3,5,6,83.4876555885125,84.6901221892653
"Short horizon","autolap","Auto-LAP",82.9333333333333,1.00664459136943,3,0,5,7,81.9266887419639,83.9399779247028
"Long horizon","baseline","Official
baseline",76.8,NA,0,0,5,1,NA,NA
"Long horizon","joint3","Joint-Continue
3ep",76.8,4.21426150114109,3,0,5,2,72.5857384988589,81.0142615011411
"Long horizon","globalft50","Global-FT
50ep",78.6666666666667,1.00664459136943,3,0,5,3,77.6600220752972,79.6733112580361
"Long horizon","random","Random-Voronoi
K3-50",77.2,1.83303027798233,3,3,5,4,75.3669697220177,79.0330302779823
"Long horizon","kmeans","K-means++
K3-50",78.5777777777778,0.504791852960025,3,3,5,5,78.0729859248178,79.0825696307378
"Long horizon","spectral","Spectral
K3-50",77.9111111111111,1.13398673974872,3,3,5,6,76.7771243713624,79.0450978508598
"Long horizon","autolap","Auto-LAP",78.6666666666667,1.00664459136943,3,0,5,7,77.6600220752972,79.6733112580361
