method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,88.0
official,,,1,88.0
official,,,2,78.0
official,,,3,94.0
official,,,4,88.0
joint,0,,0,86.0
joint,0,,1,80.0
joint,0,,2,74.0
joint,0,,3,86.0
joint,0,,4,88.0
joint,42,,0,90.0
joint,42,,1,80.0
joint,42,,2,82.0
joint,42,,3,80.0
joint,42,,4,90.0
joint,625,,0,88.0
joint,625,,1,90.0
joint,625,,2,80.0
joint,625,,3,84.0
joint,625,,4,90.0
global,0,,0,82.0
global,0,,1,88.0
global,0,,2,68.0
global,0,,3,94.0
global,0,,4,82.0
global,42,,0,82.0
global,42,,1,88.0
global,42,,2,70.0
global,42,,3,88.0
global,42,,4,82.0
global,625,,0,82.0
global,625,,1,84.0
global,625,,2,74.0
global,625,,3,92.0
global,625,,4,88.0
random_voronoi,0,0,0,90.0
random_voronoi,0,0,1,86.0
random_voronoi,0,0,2,88.0
random_voronoi,0,0,3,88.0
random_voronoi,0,0,4,88.0
random_voronoi,0,1,0,94.0
random_voronoi,0,1,1,90.0
random_voronoi,0,1,2,76.0
random_voronoi,0,1,3,76.0
random_voronoi,0,1,4,86.0
random_voronoi,0,2,0,80.0
random_voronoi,0,2,1,86.0
random_voronoi,0,2,2,78.0
random_voronoi,0,2,3,82.0
random_voronoi,0,2,4,90.0
random_voronoi,42,0,0,82.0
random_voronoi,42,0,1,80.0
random_voronoi,42,0,2,82.0
random_voronoi,42,0,3,92.0
random_voronoi,42,0,4,88.0
random_voronoi,42,1,0,88.0
random_voronoi,42,1,1,84.0
random_voronoi,42,1,2,78.0
random_voronoi,42,1,3,84.0
random_voronoi,42,1,4,86.0
random_voronoi,42,2,0,82.0
random_voronoi,42,2,1,88.0
random_voronoi,42,2,2,82.0
random_voronoi,42,2,3,92.0
random_voronoi,42,2,4,84.0
random_voronoi,625,0,0,76.0
random_voronoi,625,0,1,84.0
random_voronoi,625,0,2,70.0
random_voronoi,625,0,3,92.0
random_voronoi,625,0,4,80.0
random_voronoi,625,1,0,82.0
random_voronoi,625,1,1,88.0
random_voronoi,625,1,2,74.0
random_voronoi,625,1,3,82.0
random_voronoi,625,1,4,86.0
random_voronoi,625,2,0,82.0
random_voronoi,625,2,1,84.0
random_voronoi,625,2,2,72.0
random_voronoi,625,2,3,90.0
random_voronoi,625,2,4,86.0
kmeanspp,0,0,0,92.0
kmeanspp,0,0,1,80.0
kmeanspp,0,0,2,82.0
kmeanspp,0,0,3,86.0
kmeanspp,0,0,4,96.0
kmeanspp,0,1,0,88.0
kmeanspp,0,1,1,82.0
kmeanspp,0,1,2,76.0
kmeanspp,0,1,3,80.0
kmeanspp,0,1,4,86.0
kmeanspp,0,2,0,84.0
kmeanspp,0,2,1,84.0
kmeanspp,0,2,2,78.0
kmeanspp,0,2,3,90.0
kmeanspp,0,2,4,90.0
kmeanspp,42,0,0,84.0
kmeanspp,42,0,1,92.0
kmeanspp,42,0,2,82.0
kmeanspp,42,0,3,82.0
kmeanspp,42,0,4,88.0
kmeanspp,42,1,0,90.0
kmeanspp,42,1,1,90.0
kmeanspp,42,1,2,78.0
kmeanspp,42,1,3,90.0
kmeanspp,42,1,4,92.0
kmeanspp,42,2,0,92.0
kmeanspp,42,2,1,84.0
kmeanspp,42,2,2,78.0
kmeanspp,42,2,3,94.0
kmeanspp,42,2,4,82.0
kmeanspp,625,0,0,94.0
kmeanspp,625,0,1,80.0
kmeanspp,625,0,2,72.0
kmeanspp,625,0,3,86.0
kmeanspp,625,0,4,90.0
kmeanspp,625,1,0,82.0
kmeanspp,625,1,1,86.0
kmeanspp,625,1,2,88.0
kmeanspp,625,1,3,80.0
kmeanspp,625,1,4,88.0
kmeanspp,625,2,0,94.0
kmeanspp,625,2,1,86.0
kmeanspp,625,2,2,76.0
kmeanspp,625,2,3,92.0
kmeanspp,625,2,4,92.0
spectral,0,0,0,86.0
spectral,0,0,1,88.0
spectral,0,0,2,76.0
spectral,0,0,3,92.0
spectral,0,0,4,88.0
spectral,0,1,0,86.0
spectral,0,1,1,86.0
spectral,0,1,2,76.0
spectral,0,1,3,80.0
spectral,0,1,4,86.0
spectral,0,2,0,88.0
spectral,0,2,1,86.0
spectral,0,2,2,80.0
spectral,0,2,3,80.0
spectral,0,2,4,84.0
spectral,42,0,0,92.0
spectral,42,0,1,90.0
spectral,42,0,2,86.0
spectral,42,0,3,82.0
spectral,42,0,4,86.0
spectral,42,1,0,78.0
spectral,42,1,1,82.0
spectral,42,1,2,74.0
spectral,42,1,3,80.0
spectral,42,1,4,86.0
spectral,42,2,0,82.0
spectral,42,2,1,96.0
spectral,42,2,2,86.0
spectral,42,2,3,84.0
spectral,42,2,4,86.0
spectral,625,0,0,84.0
spectral,625,0,1,90.0
spectral,625,0,2,72.0
spectral,625,0,3,82.0
spectral,625,0,4,82.0
spectral,625,1,0,92.0
spectral,625,1,1,78.0
spectral,625,1,2,74.0
spectral,625,1,3,86.0
spectral,625,1,4,90.0
spectral,625,2,0,84.0
spectral,625,2,1,86.0
spectral,625,2,2,84.0
spectral,625,2,3,82.0
spectral,625,2,4,86.0
