method,train_seed,partition_seed,eval_seed,success_rate_percent
global,0,,0,80.0
global,0,,1,78.0
global,0,,2,74.0
global,0,,3,82.0
global,0,,4,82.0
global,42,,0,78.0
global,42,,1,80.0
global,42,,2,74.0
global,42,,3,76.0
global,42,,4,80.0
global,625,,0,68.0
global,625,,1,74.0
global,625,,2,90.0
global,625,,3,78.0
global,625,,4,80.0
spectral,0,0,0,76.0
spectral,0,0,1,72.0
spectral,0,0,2,76.0
spectral,0,0,3,80.0
spectral,0,0,4,80.0
spectral,0,1,0,72.0
spectral,0,1,1,74.0
spectral,0,1,2,88.0
spectral,0,1,3,74.0
spectral,0,1,4,74.0
spectral,0,2,0,72.0
spectral,0,2,1,72.0
spectral,0,2,2,68.0
spectral,0,2,3,84.0
spectral,0,2,4,80.0
spectral,42,0,0,74.0
spectral,42,0,1,76.0
spectral,42,0,2,88.0
spectral,42,0,3,66.0
spectral,42,0,4,80.0
spectral,42,1,0,76.0
spectral,42,1,1,72.0
spectral,42,1,2,84.0
spectral,42,1,3,78.0
spectral,42,1,4,82.0
spectral,42,2,0,72.0
spectral,42,2,1,72.0
spectral,42,2,2,78.0
spectral,42,2,3,82.0
spectral,42,2,4,78.0
spectral,625,0,0,68.0
spectral,625,0,1,76.0
spectral,625,0,2,92.0
spectral,625,0,3,80.0
spectral,625,0,4,82.0
spectral,625,1,0,80.0
spectral,625,1,1,76.0
spectral,625,1,2,78.0
spectral,625,1,3,76.0
spectral,625,1,4,78.0
spectral,625,2,0,86.0
spectral,625,2,1,86.0
spectral,625,2,2,82.0
spectral,625,2,3,86.0
spectral,625,2,4,82.0
