experiment_directory,category,total_files,json_files,csv_files,npz_files,log_files
archive,Archived precision control,36,13,2,0,11
embedding_loader_validation,Lossless cache validation,2,1,0,0,1
geometry_latent_probe_priority5,Latent-region separability,3,1,1,0,1
geometry_latent_probe_priority5_multiseed,Latent-region separability,3,1,1,0,1
geometry_latent_probe_rooms3_multiseed,Latent-region separability,3,1,1,0,1
geometry_latent_svm_rooms3,Latent-region separability,6,1,2,0,3
latent_kmeanspp_multirestart_k3,Automatic partition and stability,11,1,3,4,2
latent_landmark_spectral_k3,Automatic partition and stability,22,4,0,9,0
latent_preprocess_convergence_k3,Automatic partition and stability,7,1,3,0,0
latent_preprocess_stability_k3,Automatic partition and stability,7,1,3,0,0
latent_random_voronoi_k3,Automatic partition and stability,18,3,0,6,0
latent_umap_ggplot2,Latent-region separability,2,1,1,0,0
latent_unsup_cluster,Automatic partition and stability,4,4,0,0,0
latent_unsup_cluster_smoke,Automatic partition and stability,2,2,0,0,0
smoke_joint_continue_cpu,Joint-Continue training,1,1,0,0,0
smoke_latent_kmeanspp_R50_outer0_step_routing_20260714,Smoke/contract validation,3,1,0,0,1
smoke_spectral_inference_tensor_fix_seed0_trainseed42,Smoke/contract validation,2,1,0,0,0
smoke_tworoom_control,Smoke/contract validation,3,2,1,0,0
tworoom_control_v2,Encoder/gauge-drift analysis,3,2,1,0,0
tworoom_encoder_smoke,Encoder/gauge-drift analysis,3,2,1,0,0
tworoom_encoder_train_global_5k_b20_seed_0,Encoder/gauge-drift analysis,4,1,2,0,1
tworoom_encoder_train_global_5k_b20_seed_1,Encoder/gauge-drift analysis,4,1,2,0,1
tworoom_encoder_train_global_5k_b20_seed_2,Encoder/gauge-drift analysis,4,1,2,0,1
tworoom_encoder_train_global_5k_b20_seed_3,Encoder/gauge-drift analysis,4,1,2,0,1
tworoom_encoder_train_global_5k_b20_seed_4,Encoder/gauge-drift analysis,4,1,2,0,1
tworoom_encoder_train_global_smoke,Encoder/gauge-drift analysis,3,1,2,0,0
tworoom_encoder_v2,Encoder/gauge-drift analysis,3,2,1,0,0
tworoom_encoder_v2_seed1_from_cache,Encoder/gauge-drift analysis,3,2,1,0,0
tworoom_encoder_v2_seed_sweep,Encoder/gauge-drift analysis,43,20,12,0,10
tworoom_geometry_train_global_ft_45ep_status,Global predictor fine-tuning,3,0,0,0,0
tworoom_geometry_train_global_ft_45ep_trainseed0,Global predictor fine-tuning,3,1,0,0,2
tworoom_geometry_train_global_ft_45ep_trainseed42,Global predictor fine-tuning,3,1,0,0,2
tworoom_geometry_train_global_ft_45ep_trainseed625,Global predictor fine-tuning,3,1,0,0,2
tworoom_geometry_train_global_ft_50ep,Global predictor fine-tuning,3,1,0,0,2
tworoom_geometry_train_global_ft_50ep_trainseed0,Global predictor fine-tuning,3,1,0,0,2
tworoom_geometry_train_global_ft_50ep_trainseed625,Global predictor fine-tuning,3,1,0,0,2
tworoom_geometry_train_global_ft_65ep,Global predictor fine-tuning,2,1,0,0,1
tworoom_geometry_train_global_ft_65ep_trainseed0,Global predictor fine-tuning,2,1,0,0,1
tworoom_geometry_train_global_ft_65ep_trainseed625,Global predictor fine-tuning,2,1,0,0,1
tworoom_geometry_train_region_predictors,Manual-partition predictor fine-tuning,16,8,0,0,8
tworoom_geometry_train_region_predictors_doorway80ep,Manual-partition predictor fine-tuning,3,2,0,0,1
tworoom_geometry_train_region_predictors_doorway80ep_trainseed0,Manual-partition predictor fine-tuning,2,1,0,0,1
