method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,50.0
official,,,1,56.00000000000001
official,,,2,42.0
official,,,3,48.0
official,,,4,50.0
global,0,,0,57.99999999999999
global,0,,1,66.0
global,0,,2,56.00000000000001
global,0,,3,52.0
global,0,,4,64.0
global,42,,0,57.99999999999999
global,42,,1,62.0
global,42,,2,57.99999999999999
global,42,,3,54.0
global,42,,4,60.0
global,625,,0,54.0
global,625,,1,62.0
global,625,,2,54.0
global,625,,3,54.0
global,625,,4,60.0
spectral,0,0,0,60.0
spectral,0,0,1,62.0
spectral,0,0,2,64.0
spectral,0,0,3,54.0
spectral,0,0,4,60.0
spectral,0,1,0,62.0
spectral,0,1,1,62.0
spectral,0,1,2,57.99999999999999
spectral,0,1,3,54.0
spectral,0,1,4,57.99999999999999
spectral,0,2,0,60.0
spectral,0,2,1,68.0
spectral,0,2,2,64.0
spectral,0,2,3,54.0
spectral,0,2,4,62.0
spectral,42,0,0,57.99999999999999
spectral,42,0,1,66.0
spectral,42,0,2,60.0
spectral,42,0,3,56.00000000000001
spectral,42,0,4,60.0
spectral,42,1,0,57.99999999999999
spectral,42,1,1,70.0
spectral,42,1,2,56.00000000000001
spectral,42,1,3,57.99999999999999
spectral,42,1,4,52.0
spectral,42,2,0,60.0
spectral,42,2,1,68.0
spectral,42,2,2,57.99999999999999
spectral,42,2,3,60.0
spectral,42,2,4,60.0
spectral,625,0,0,56.00000000000001
spectral,625,0,1,68.0
spectral,625,0,2,54.0
spectral,625,0,3,48.0
spectral,625,0,4,57.99999999999999
spectral,625,1,0,60.0
spectral,625,1,1,60.0
spectral,625,1,2,54.0
spectral,625,1,3,52.0
spectral,625,1,4,66.0
spectral,625,2,0,62.0
spectral,625,2,1,66.0
spectral,625,2,2,57.99999999999999
spectral,625,2,3,57.99999999999999
spectral,625,2,4,57.99999999999999
