model,metric,mean,std
linear_softmax_probe,accuracy,0.986987,0.000559
linear_softmax_probe,balanced_accuracy,0.981068,0.000485
linear_softmax_probe,macro_f1,0.980083,0.000776
linear_softmax_probe,doorway_corridor_f1,0.990837,0.000785
linear_softmax_probe,near_wall_f1,0.946016,0.002359
linear_softmax_probe,common_f1,0.991370,0.000611
linear_softmax_probe,right_room_f1,0.985812,0.000822
linear_softmax_probe,left_room_f1,0.986381,0.000658
rff_rbf_probe,accuracy,0.992082,0.000269
rff_rbf_probe,balanced_accuracy,0.988036,0.001067
rff_rbf_probe,macro_f1,0.987883,0.000468
rff_rbf_probe,doorway_corridor_f1,0.993633,0.000824
rff_rbf_probe,near_wall_f1,0.968088,0.001417
rff_rbf_probe,common_f1,0.994917,0.000350
rff_rbf_probe,right_room_f1,0.991079,0.000451
rff_rbf_probe,left_room_f1,0.991694,0.000520
paired_delta,macro_f1_rff_minus_linear,0.007799,0.000546
