preprocess,seed,objective_final,objective_delta_last10,objective_still_changing,fit_sec,cluster_frac_min,cluster_frac_mid,cluster_frac_max,margin_mean,margin_median,margin_p10,margin_p25,margin_lt_0p01_frac
raw_l2,0,0.21269991993904114,0.00022470951080322266,1,0.553725176025182,0.315467455478206,0.34120386095547767,0.34332868356631635,0.13517411053180695,0.1386341154575348,0.03292778506875038,0.07707647234201431,0.03018940930371113
raw_l2,1,0.21317635476589203,2.086162567138672e-07,0,0.43202309496700764,0.2820111176698841,0.34072569342536135,0.3772631889047545,0.13998602330684662,0.14550065994262695,0.0386471226811409,0.08870074152946472,0.025807855797863745
raw_l2,2,0.21371936798095703,8.940696716308594e-08,0,0.43192077009007335,0.32496155423134293,0.3358967509890373,0.33914169477961975,0.1391446590423584,0.13939118385314941,0.03409123793244362,0.08004219830036163,0.028880219583323714
raw_l2,3,0.21230489015579224,0.00011917948722839355,1,0.43247429886832833,0.31117384082847194,0.33974957212250323,0.34907658704902483,0.13288632035255432,0.13610844314098358,0.030685150995850563,0.07524767518043518,0.03277701014484629
raw_l2,4,0.2121586948633194,5.841255187988281e-06,0,0.431887811049819,0.3085620568019056,0.3291386498967268,0.36229929330136756,0.13610024750232697,0.13507460057735443,0.02963620238006115,0.0736335888504982,0.03373334520507891
raw_l2,5,0.21399635076522827,2.5331974029541016e-06,0,0.4312311662361026,0.30306038211631453,0.3432726225455441,0.3536669953381414,0.13691729307174683,0.13493962585926056,0.032815590500831604,0.07944756746292114,0.030587332627624014
raw_l2,6,0.2123955637216568,9.056925773620605e-05,1,0.43164222687482834,0.266197512869302,0.3514366460999667,0.38236584103073135,0.13689178228378296,0.13628941774368286,0.02868548221886158,0.07343506813049316,0.03571087023192774
raw_l2,7,0.210566908121109,6.452202796936035e-05,1,0.43173369439318776,0.25821376396991175,0.27472538344089353,0.4670608525891947,0.13737350702285767,0.13683360815048218,0.03752141445875168,0.08962936699390411,0.026442114797581243
raw_l2,8,0.21190175414085388,2.8312206268310547e-07,0,0.431434468831867,0.2890649131658758,0.3346183398682896,0.37631674696583467,0.13608989119529724,0.13619625568389893,0.032105546444654465,0.07621051371097565,0.031133652771228166
raw_l2,9,0.21474753320217133,0.0001487433910369873,1,0.43122048396617174,0.3278998112612301,0.3322516854031392,0.3398485033356307,0.1378382444381714,0.14266031980514526,0.035286061465740204,0.08335205167531967,0.02850757868054342
raw_l2,10,0.2153702825307846,2.9802322387695312e-08,0,0.4315136759541929,0.3024118330524786,0.34381454574634257,0.35377362120117883,0.14212770760059357,0.14393101632595062,0.037103548645973206,0.08693677186965942,0.026421229319254322
raw_l2,11,0.21463458240032196,5.811452865600586e-07,0,0.4322124309837818,0.2760840387678447,0.34916452590513813,0.3747514353270171,0.14469683170318604,0.14898446202278137,0.03446906432509422,0.08463537693023682,0.028728525056528197
raw_l2,12,0.2132350504398346,7.450580596923828e-08,0,0.43119840463623405,0.2890220429735205,0.32851868096112774,0.38245927606535174,0.1359919309616089,0.13819833099842072,0.03267379477620125,0.07885296642780304,0.030532370842553173
raw_l2,13,0.2127188891172409,2.6270747184753418e-05,1,0.4315323978662491,0.28664549538705736,0.3000330869946126,0.41332141761832997,0.13505277037620544,0.13494816422462463,0.031234724447131157,0.07449483126401901,0.0320647054103282
raw_l2,14,0.2129659205675125,0.0,0,0.431568190921098,0.2626074090684747,0.3561798481515802,0.3812127427799451,0.1451655924320221,0.14802664518356323,0.04416902735829353,0.09546802192926407,0.022490362450987827
raw_l2,15,0.21470390260219574,2.086162567138672e-06,0,0.43164207180961967,0.29987369781790724,0.3317867087014399,0.3683395934806529,0.14157216250896454,0.14358291029930115,0.034557729959487915,0.08369132876396179,0.02891979206857472
raw_l2,16,0.21403050422668457,1.4066696166992188e-05,1,0.4312625820748508,0.3010729639681529,0.3405003501065709,0.35842668592527616,0.1364099234342575,0.13797011971473694,0.03029683046042919,0.07419705390930176,0.03301224658494949
raw_l2,17,0.21358968317508698,1.9818544387817383e-06,0,0.43148836586624384,0.3113728024904284,0.3278316586477422,0.36079553886182936,0.13573519885540009,0.13396987318992615,0.030420003458857536,0.07361207902431488,0.032262567836583225
raw_l2,18,0.21281886100769043,5.960464477539063e-08,0,0.4322772743180394,0.2287641402932541,0.3767454488893872,0.3944904108173587,0.1401223987340927,0.13993726670742035,0.03468965366482735,0.0787927508354187,0.028547151165794423
raw_l2,19,0.21255987882614136,2.568960189819336e-05,1,0.4327825759537518,0.32608717158959377,0.3312656709789683,0.3426471574314379,0.135167196393013,0.1388453096151352,0.03093593753874302,0.07605192810297012,0.032524185933520425
