==== GPU=5 global_ft EPOCHS=65 SEED=42 started at Mon Jul 13 06:37:22 AM UTC 2026 ====
[split] TwoRoom regions from fixed task geometry (wall_center=112, wall_width=10)
[train] global_ft: 693728 train-global transitions
  [embed-cache] left_room: 330243 transitions from P_train_left_room_embeddings.npz
  [embed-cache] doorway_corridor: 38552 transitions from P_train_doorway_corridor_embeddings.npz
  [embed-cache] right_room: 324933 transitions from P_train_right_room_embeddings.npz
  [embed-cache] merged 693728 train transitions from experiments/real_gauge_drift/results/tworoom_geometry_train_region_predictors
  [cache] saved merged embeddings to experiments/real_gauge_drift/results/tworoom_geometry_train_global_ft_65ep/P_train_global_ft_embeddings.npz
  [train] epoch 1/65  train_loss=0.018661  eval_loss=0.007243
  [train] epoch 2/65  train_loss=0.005788  eval_loss=0.005164
  [train] epoch 3/65  train_loss=0.004972  eval_loss=0.004408
  [train] epoch 4/65  train_loss=0.004388  eval_loss=0.003886
  [train] epoch 5/65  train_loss=0.003934  eval_loss=0.003486
  [train] epoch 6/65  train_loss=0.003585  eval_loss=0.003188
  [train] epoch 7/65  train_loss=0.003294  eval_loss=0.003552
  [train] epoch 8/65  train_loss=0.003047  eval_loss=0.002900
  [train] epoch 9/65  train_loss=0.002789  eval_loss=0.002404
  [train] epoch 10/65  train_loss=0.002623  eval_loss=0.002544
  [train] epoch 11/65  train_loss=0.002484  eval_loss=0.002581
  [train] epoch 12/65  train_loss=0.002344  eval_loss=0.002330
  [train] epoch 13/65  train_loss=0.002192  eval_loss=0.002439
  [train] epoch 14/65  train_loss=0.002058  eval_loss=0.001865
  [train] epoch 15/65  train_loss=0.001992  eval_loss=0.002270
  [train] epoch 16/65  train_loss=0.001882  eval_loss=0.002260
  [train] epoch 17/65  train_loss=0.001817  eval_loss=0.001999
  [train] epoch 18/65  train_loss=0.001754  eval_loss=0.001832
  [train] epoch 19/65  train_loss=0.001699  eval_loss=0.001577
  [train] epoch 20/65  train_loss=0.001587  eval_loss=0.001442
  [train] epoch 21/65  train_loss=0.001555  eval_loss=0.001400
  [train] epoch 22/65  train_loss=0.001533  eval_loss=0.001291
  [train] epoch 23/65  train_loss=0.001416  eval_loss=0.001042
  [train] epoch 24/65  train_loss=0.001412  eval_loss=0.001082
  [train] epoch 25/65  train_loss=0.001323  eval_loss=0.001186
  [train] epoch 26/65  train_loss=0.001332  eval_loss=0.001218
  [train] epoch 27/65  train_loss=0.001299  eval_loss=0.001004
  [train] epoch 28/65  train_loss=0.001267  eval_loss=0.000941
  [train] epoch 29/65  train_loss=0.001225  eval_loss=0.001107
  [train] epoch 30/65  train_loss=0.001163  eval_loss=0.000801
  [train] epoch 31/65  train_loss=0.001151  eval_loss=0.001040
  [train] epoch 32/65  train_loss=0.001091  eval_loss=0.000846
  [train] epoch 33/65  train_loss=0.001111  eval_loss=0.001220
  [train] epoch 34/65  train_loss=0.001047  eval_loss=0.001182
  [train] epoch 35/65  train_loss=0.001030  eval_loss=0.001125
  [train] epoch 36/65  train_loss=0.001027  eval_loss=0.001166
  [train] epoch 37/65  train_loss=0.000978  eval_loss=0.001207
  [train] epoch 38/65  train_loss=0.000986  eval_loss=0.000833
  [train] epoch 39/65  train_loss=0.000960  eval_loss=0.000905
  [train] epoch 40/65  train_loss=0.000904  eval_loss=0.000841
  [train] epoch 41/65  train_loss=0.000900  eval_loss=0.000873
  [train] epoch 42/65  train_loss=0.000894  eval_loss=0.000924
  [train] epoch 43/65  train_loss=0.000875  eval_loss=0.000783
  [train] epoch 44/65  train_loss=0.000846  eval_loss=0.001251
  [train] epoch 45/65  train_loss=0.000858  eval_loss=0.000951
  [train] epoch 46/65  train_loss=0.000823  eval_loss=0.000677
  [train] epoch 47/65  train_loss=0.000808  eval_loss=0.000511
  [train] epoch 48/65  train_loss=0.000825  eval_loss=0.000830
  [train] epoch 49/65  train_loss=0.000786  eval_loss=0.000760
  [train] epoch 50/65  train_loss=0.000790  eval_loss=0.000803
  [train] epoch 51/65  train_loss=0.000746  eval_loss=0.000746
  [train] epoch 52/65  train_loss=0.000773  eval_loss=0.000780
  [train] epoch 53/65  train_loss=0.000764  eval_loss=0.000919
  [train] epoch 54/65  train_loss=0.000719  eval_loss=0.000791
  [train] epoch 55/65  train_loss=0.000746  eval_loss=0.000646
  [train] epoch 56/65  train_loss=0.000665  eval_loss=0.000643
  [train] epoch 57/65  train_loss=0.000709  eval_loss=0.000446
  [train] epoch 58/65  train_loss=0.000697  eval_loss=0.000786
  [train] epoch 59/65  train_loss=0.000695  eval_loss=0.000660
  [train] epoch 60/65  train_loss=0.000664  eval_loss=0.000565
  [train] epoch 61/65  train_loss=0.000674  eval_loss=0.001448
  [train] epoch 62/65  train_loss=0.000673  eval_loss=0.000539
  [train] epoch 63/65  train_loss=0.000659  eval_loss=0.000709
  [train] epoch 64/65  train_loss=0.000642  eval_loss=0.000371
  [train] epoch 65/65  train_loss=0.000607  eval_loss=0.000421
  [best] epoch 64  eval_loss=0.000371 (selected over 65 epochs)
  saved experiments/real_gauge_drift/results/tworoom_geometry_train_global_ft_65ep/P_train_global_ft_object.ckpt  best_epoch=64  best_eval_loss=0.000371
Wrote manifest to experiments/real_gauge_drift/results/tworoom_geometry_train_global_ft_65ep/manifest.json
real 5852.59
user 5937.19
sys 37.78
==== GPU=5 global_ft finished at Mon Jul 13 08:14:55 AM UTC 2026 ====
