==== GPU=6 global_ft EPOCHS=65 SEED=625 started at Tue Jul 14 03:14:41 PM UTC 2026 ====
[split] TwoRoom regions from fixed task geometry (wall_center=112, wall_width=10)
[train] global_ft: 693728 train-global transitions
  [embed-cache] left_room: 330243 transitions from P_train_left_room_embeddings.npz
  [embed-cache] doorway_corridor: 38552 transitions from P_train_doorway_corridor_embeddings.npz
  [embed-cache] right_room: 324933 transitions from P_train_right_room_embeddings.npz
  [embed-cache] merged 693728 train transitions from experiments/real_gauge_drift/results/tworoom_geometry_train_region_predictors
  [cache] saved merged embeddings to /data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_geometry_train_global_ft_65ep_trainseed625/P_train_global_ft_embeddings.npz
  [train] epoch 1/65  train_loss=0.018592  eval_loss=0.007050
  [train] epoch 2/65  train_loss=0.005782  eval_loss=0.005559
  [train] epoch 3/65  train_loss=0.004958  eval_loss=0.004246
  [train] epoch 4/65  train_loss=0.004386  eval_loss=0.003731
  [train] epoch 5/65  train_loss=0.003941  eval_loss=0.003654
  [train] epoch 6/65  train_loss=0.003564  eval_loss=0.003103
  [train] epoch 7/65  train_loss=0.003285  eval_loss=0.003000
  [train] epoch 8/65  train_loss=0.003008  eval_loss=0.003042
  [train] epoch 9/65  train_loss=0.002819  eval_loss=0.002416
  [train] epoch 10/65  train_loss=0.002626  eval_loss=0.002437
  [train] epoch 11/65  train_loss=0.002458  eval_loss=0.001922
  [train] epoch 12/65  train_loss=0.002340  eval_loss=0.002210
  [train] epoch 13/65  train_loss=0.002234  eval_loss=0.002090
  [train] epoch 14/65  train_loss=0.002050  eval_loss=0.001819
  [train] epoch 15/65  train_loss=0.002006  eval_loss=0.002876
  [train] epoch 16/65  train_loss=0.001911  eval_loss=0.001574
  [train] epoch 17/65  train_loss=0.001788  eval_loss=0.002163
  [train] epoch 18/65  train_loss=0.001731  eval_loss=0.001701
  [train] epoch 19/65  train_loss=0.001669  eval_loss=0.001943
  [train] epoch 20/65  train_loss=0.001602  eval_loss=0.001615
  [train] epoch 21/65  train_loss=0.001593  eval_loss=0.001413
  [train] epoch 22/65  train_loss=0.001466  eval_loss=0.001387
  [train] epoch 23/65  train_loss=0.001462  eval_loss=0.001445
  [train] epoch 24/65  train_loss=0.001377  eval_loss=0.001279
  [train] epoch 25/65  train_loss=0.001394  eval_loss=0.001406
  [train] epoch 26/65  train_loss=0.001315  eval_loss=0.001085
  [train] epoch 27/65  train_loss=0.001284  eval_loss=0.001351
  [train] epoch 28/65  train_loss=0.001243  eval_loss=0.001033
  [train] epoch 29/65  train_loss=0.001202  eval_loss=0.001433
  [train] epoch 30/65  train_loss=0.001156  eval_loss=0.001665
  [train] epoch 31/65  train_loss=0.001177  eval_loss=0.000838
  [train] epoch 32/65  train_loss=0.001097  eval_loss=0.001069
  [train] epoch 33/65  train_loss=0.001070  eval_loss=0.000835
  [train] epoch 34/65  train_loss=0.001081  eval_loss=0.001968
  [train] epoch 35/65  train_loss=0.001064  eval_loss=0.000885
  [train] epoch 36/65  train_loss=0.000979  eval_loss=0.001155
  [train] epoch 37/65  train_loss=0.000997  eval_loss=0.000885
  [train] epoch 38/65  train_loss=0.000972  eval_loss=0.000963
  [train] epoch 39/65  train_loss=0.000964  eval_loss=0.000965
  [train] epoch 40/65  train_loss=0.000908  eval_loss=0.001045
  [train] epoch 41/65  train_loss=0.000904  eval_loss=0.000940
  [train] epoch 42/65  train_loss=0.000901  eval_loss=0.001441
  [train] epoch 43/65  train_loss=0.000927  eval_loss=0.000838
  [train] epoch 44/65  train_loss=0.000901  eval_loss=0.000704
  [train] epoch 45/65  train_loss=0.000787  eval_loss=0.000854
  [train] epoch 46/65  train_loss=0.000831  eval_loss=0.000895
  [train] epoch 47/65  train_loss=0.000828  eval_loss=0.000849
  [train] epoch 48/65  train_loss=0.000826  eval_loss=0.000623
  [train] epoch 49/65  train_loss=0.000743  eval_loss=0.000689
  [train] epoch 50/65  train_loss=0.000794  eval_loss=0.000731
  [train] epoch 51/65  train_loss=0.000739  eval_loss=0.000816
  [train] epoch 52/65  train_loss=0.000776  eval_loss=0.000653
  [train] epoch 53/65  train_loss=0.000729  eval_loss=0.000977
  [train] epoch 54/65  train_loss=0.000724  eval_loss=0.000928
  [train] epoch 55/65  train_loss=0.000732  eval_loss=0.000899
  [train] epoch 56/65  train_loss=0.000724  eval_loss=0.000703
  [train] epoch 57/65  train_loss=0.000666  eval_loss=0.000483
  [train] epoch 58/65  train_loss=0.000711  eval_loss=0.000486
  [train] epoch 59/65  train_loss=0.000688  eval_loss=0.000545
  [train] epoch 60/65  train_loss=0.000676  eval_loss=0.001024
  [train] epoch 61/65  train_loss=0.000640  eval_loss=0.000627
  [train] epoch 62/65  train_loss=0.000705  eval_loss=0.000753
  [train] epoch 63/65  train_loss=0.000689  eval_loss=0.000547
  [train] epoch 64/65  train_loss=0.000616  eval_loss=0.000512
  [train] epoch 65/65  train_loss=0.000637  eval_loss=0.001379
  [best] epoch 57  eval_loss=0.000483 (selected over 65 epochs)
  saved /data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_geometry_train_global_ft_65ep_trainseed625/P_train_global_ft_object.ckpt  best_epoch=57  best_eval_loss=0.000483
Wrote manifest to /data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_geometry_train_global_ft_65ep_trainseed625/manifest.json
real 6083.15
user 5760.41
sys 21.37
==== GPU=6 global_ft finished at Tue Jul 14 04:56:04 PM UTC 2026 ====
