==== GPU=5 REGION=doorway_corridor EPOCHS=80 SEED=0 WORK_DIR=/data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_geometry_train_region_predictors_doorway80ep_trainseed0/_work/doorway_corridor_80ep_seed0 started at Tue Jul 14 01:33:48 PM UTC 2026 ====
[split] TwoRoom regions from fixed task geometry (wall_center=112, wall_width=10)
[train] doorway_corridor: 38552 train∩region transitions
  [cache] loaded embeddings from /data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_geometry_train_region_predictors_doorway80ep_trainseed0/_work/doorway_corridor_80ep_seed0/P_train_doorway_corridor_embeddings.npz
  [train] epoch 1/80  train_loss=0.032559  eval_loss=0.016549
  [train] epoch 2/80  train_loss=0.015340  eval_loss=0.013219
  [train] epoch 3/80  train_loss=0.013616  eval_loss=0.012766
  [train] epoch 4/80  train_loss=0.012565  eval_loss=0.011643
  [train] epoch 5/80  train_loss=0.011746  eval_loss=0.010306
  [train] epoch 6/80  train_loss=0.010917  eval_loss=0.010279
  [train] epoch 7/80  train_loss=0.009971  eval_loss=0.008565
  [train] epoch 8/80  train_loss=0.009399  eval_loss=0.008858
  [train] epoch 9/80  train_loss=0.009157  eval_loss=0.008711
  [train] epoch 10/80  train_loss=0.008449  eval_loss=0.007826
  [train] epoch 11/80  train_loss=0.007923  eval_loss=0.007593
  [train] epoch 12/80  train_loss=0.007597  eval_loss=0.007289
  [train] epoch 13/80  train_loss=0.007147  eval_loss=0.006060
  [train] epoch 14/80  train_loss=0.006653  eval_loss=0.007319
  [train] epoch 15/80  train_loss=0.006699  eval_loss=0.006873
  [train] epoch 16/80  train_loss=0.006299  eval_loss=0.005812
  [train] epoch 17/80  train_loss=0.006303  eval_loss=0.005824
  [train] epoch 18/80  train_loss=0.005609  eval_loss=0.006438
  [train] epoch 19/80  train_loss=0.005587  eval_loss=0.005057
  [train] epoch 20/80  train_loss=0.005493  eval_loss=0.005067
  [train] epoch 21/80  train_loss=0.005260  eval_loss=0.005994
  [train] epoch 22/80  train_loss=0.005096  eval_loss=0.004893
  [train] epoch 23/80  train_loss=0.005481  eval_loss=0.004894
  [train] epoch 24/80  train_loss=0.004577  eval_loss=0.004608
  [train] epoch 25/80  train_loss=0.004231  eval_loss=0.004396
  [train] epoch 26/80  train_loss=0.004188  eval_loss=0.003987
  [train] epoch 27/80  train_loss=0.003960  eval_loss=0.003469
  [train] epoch 28/80  train_loss=0.005264  eval_loss=0.004436
  [train] epoch 29/80  train_loss=0.004330  eval_loss=0.003794
  [train] epoch 30/80  train_loss=0.004433  eval_loss=0.003453
  [train] epoch 31/80  train_loss=0.003508  eval_loss=0.003516
  [train] epoch 32/80  train_loss=0.003130  eval_loss=0.002875
  [train] epoch 33/80  train_loss=0.003651  eval_loss=0.003631
  [train] epoch 34/80  train_loss=0.004514  eval_loss=0.005302
  [train] epoch 35/80  train_loss=0.003945  eval_loss=0.003024
  [train] epoch 36/80  train_loss=0.003671  eval_loss=0.003670
  [train] epoch 37/80  train_loss=0.003131  eval_loss=0.003582
  [train] epoch 38/80  train_loss=0.002919  eval_loss=0.002416
  [train] epoch 39/80  train_loss=0.003781  eval_loss=0.002660
  [train] epoch 40/80  train_loss=0.003625  eval_loss=0.003139
  [train] epoch 41/80  train_loss=0.002786  eval_loss=0.002519
  [train] epoch 42/80  train_loss=0.003195  eval_loss=0.002979
  [train] epoch 43/80  train_loss=0.002745  eval_loss=0.003636
  [train] epoch 44/80  train_loss=0.003424  eval_loss=0.002994
  [train] epoch 45/80  train_loss=0.003559  eval_loss=0.003315
  [train] epoch 46/80  train_loss=0.003084  eval_loss=0.002776
  [train] epoch 47/80  train_loss=0.002493  eval_loss=0.002119
  [train] epoch 48/80  train_loss=0.002058  eval_loss=0.001868
  [train] epoch 49/80  train_loss=0.001916  eval_loss=0.001654
  [train] epoch 50/80  train_loss=0.001847  eval_loss=0.002076
  [train] epoch 51/80  train_loss=0.003308  eval_loss=0.005430
  [train] epoch 52/80  train_loss=0.003482  eval_loss=0.003056
  [train] epoch 53/80  train_loss=0.002717  eval_loss=0.002478
  [train] epoch 54/80  train_loss=0.002967  eval_loss=0.003045
  [train] epoch 55/80  train_loss=0.002841  eval_loss=0.002247
  [train] epoch 56/80  train_loss=0.002317  eval_loss=0.002930
  [train] epoch 57/80  train_loss=0.001716  eval_loss=0.001877
  [train] epoch 58/80  train_loss=0.001533  eval_loss=0.001399
  [train] epoch 59/80  train_loss=0.001893  eval_loss=0.001861
  [train] epoch 60/80  train_loss=0.001676  eval_loss=0.001388
  [train] epoch 61/80  train_loss=0.002644  eval_loss=0.003402
  [train] epoch 62/80  train_loss=0.003327  eval_loss=0.002943
  [train] epoch 63/80  train_loss=0.002718  eval_loss=0.002692
  [train] epoch 64/80  train_loss=0.001996  eval_loss=0.002076
  [train] epoch 65/80  train_loss=0.001998  eval_loss=0.002129
  [train] epoch 66/80  train_loss=0.001994  eval_loss=0.002425
  [train] epoch 67/80  train_loss=0.002717  eval_loss=0.002695
  [train] epoch 68/80  train_loss=0.002480  eval_loss=0.001747
  [train] epoch 69/80  train_loss=0.001289  eval_loss=0.000982
  [train] epoch 70/80  train_loss=0.000992  eval_loss=0.000879
  [train] epoch 71/80  train_loss=0.000900  eval_loss=0.000843
  [train] epoch 72/80  train_loss=0.001057  eval_loss=0.000992
  [train] epoch 73/80  train_loss=0.000939  eval_loss=0.000861
  [train] epoch 74/80  train_loss=0.000908  eval_loss=0.000878
  [train] epoch 75/80  train_loss=0.002570  eval_loss=0.002562
  [train] epoch 76/80  train_loss=0.002693  eval_loss=0.003081
  [train] epoch 77/80  train_loss=0.002371  eval_loss=0.003276
  [train] epoch 78/80  train_loss=0.003784  eval_loss=0.002681
  [train] epoch 79/80  train_loss=0.002180  eval_loss=0.002707
  [train] epoch 80/80  train_loss=0.001633  eval_loss=0.001423
  [best] epoch 71  eval_loss=0.000843 (selected over 80 epochs)
  saved /data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_geometry_train_region_predictors_doorway80ep_trainseed0/_work/doorway_corridor_80ep_seed0/P_train_doorway_corridor_object.ckpt  best_epoch=71  best_eval_loss=0.000843
Wrote manifest to /data/sicong/weitao/le-wm/experiments/real_gauge_drift/results/tworoom_geometry_train_region_predictors_doorway80ep_trainseed0/_work/doorway_corridor_80ep_seed0/manifest.json
real 549.89
user 427.09
sys 2.65
==== GPU=5 REGION=doorway_corridor finished at Tue Jul 14 01:42:58 PM UTC 2026 ====
