step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.06776492628058815,0.04214870133225215,0.010127819459120141,0.045026600071707785,0.08362626866055853,0.05616985500516145
2,0.09919431821632486,0.09581968723833532,0.036357194848966067,0.09719871252205228,0.16056512342472357,0.13944619070550004
3,0.13626309744780002,0.1530727138775993,0.08138271646491216,0.15715490225957265,0.2720662953703427,0.2421368844033655
4,0.1832890882196801,0.21501614324359167,0.14476832997733916,0.22004493292928015,0.4143411662959088,0.3437600310069808
5,0.23910089709331195,0.28148006134460773,0.22468803739559312,0.28740359321022557,0.5720034741052773,0.4323125155371632
6,0.3009627785950223,0.3458375038222853,0.31666840829792203,0.3530154386477509,0.7293672098650706,0.4994297412168009
7,0.36762178331296425,0.4111004128935501,0.4137277328407518,0.4145629397434845,0.8710610913562711,0.5505811948248165
8,0.43399943827654336,0.4687442865375711,0.5094854077283448,0.46807954589985407,0.9896467134413094,0.5847671820726656
9,0.4944691427934625,0.5232363347575897,0.6008581378317804,0.5233484290665924,1.0797644483871436,0.6125100940440193
10,0.5492099829937037,0.5702427642158516,0.6800761170164313,0.570283799289619,1.1464728085041709,0.6380968558367578
