step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.08038650595035948,0.044931078868088704,0.03239507043104278,0.05448725987894238,0.08362626866055853,0.05616985500516145
2,0.13078397128060926,0.10700135643311127,0.07198037571692259,0.11424566043355655,0.16056512342472357,0.13944619070550004
3,0.1997979891783732,0.1909931721810235,0.1322034961211361,0.1956519649426573,0.2720662953703427,0.2421368844033655
4,0.2937924349141231,0.29566678758118425,0.2101457893742507,0.2904781167792623,0.4143411662959088,0.3437600310069808
5,0.40468802387515473,0.3984566806768035,0.2978833115140479,0.3764473918804078,0.5720034741052773,0.4323125155371632
6,0.5225869639891698,0.4879182088249601,0.38587891261280677,0.4463291195386163,0.7293672098650706,0.4994297412168009
7,0.63314362819409,0.55888279267139,0.46902519177286495,0.5028908344486542,0.8710610913562711,0.5505811948248165
8,0.7309830163423898,0.6106703087971664,0.545157336503559,0.5497450839371082,0.9896467134413094,0.5847671820726656
9,0.8120837420485548,0.650055001692974,0.6134241534095239,0.5904811541867663,1.0797644483871436,0.6125100940440193
10,0.8787616148428818,0.6763920063946617,0.673383604192039,0.6249540248519764,1.1464728085041709,0.6380968558367578
