step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.2153885726050144,0.320367485920631,0.1579614156842075,0.32014291802965705,0.08362626866055853,0.05616985500516145
2,0.42156255230968387,0.6641012159780686,0.3533071930093322,0.6520020781280527,0.16056512342472357,0.13944619070550004
3,0.5330926080229738,0.7783800921129268,0.46411142051881926,0.7593274055409277,0.2720662953703427,0.2421368844033655
4,0.6072098805590336,0.8092782550280948,0.5464529648801734,0.783851426561686,0.4143411662959088,0.3437600310069808
5,0.6693342107206914,0.8109430962988284,0.6235396695330016,0.7787536843338618,0.5720034741052773,0.4323125155371632
6,0.7313134719099805,0.8037602366597506,0.7015391873711027,0.764119092952449,0.7293672098650706,0.4994297412168009
7,0.7909521279969352,0.7945758655409845,0.7792346799844015,0.7475195064532635,0.8710610913562711,0.5505811948248165
8,0.8518603436724916,0.7870050514462271,0.8571717417552891,0.7327075665158141,0.9896467134413094,0.5847671820726656
9,0.9115232191617861,0.7871995180289768,0.9381849167163923,0.727538722989321,1.0797644483871436,0.6125100940440193
10,0.9736600842583618,0.7917690215752482,1.0137652608508843,0.7263070563712918,1.1464728085041709,0.6380968558367578
