step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.06898097681673201,0.03547547057893773,0.024138359332082138,0.05493158017327714,0.08362626866055853,0.05616985500516145
2,0.10087986327539358,0.0826928944368273,0.07624613751734291,0.13707068333990427,0.16056512342472357,0.13944619070550004
3,0.1372559510923414,0.13793654923004312,0.15984043523091399,0.2380266831407481,0.2720662953703427,0.2421368844033655
4,0.18090351555533918,0.19672951331641403,0.2710050564002618,0.3417475711597079,0.4143411662959088,0.3437600310069808
5,0.23076702799784035,0.2614752400354578,0.39872045072128903,0.4292916946146852,0.5720034741052773,0.4323125155371632
6,0.28458458666452285,0.32725401409979216,0.5298073489885851,0.49956758942084795,0.7293672098650706,0.4994297412168009
7,0.3388885724275115,0.389873948466647,0.6519490074536275,0.5500906159970208,0.8710610913562711,0.5505811948248165
8,0.39043860180739315,0.4463876310513233,0.761944887294216,0.5889595107362672,0.9896467134413094,0.5847671820726656
9,0.4356948988596421,0.4979761524129839,0.8509052410498786,0.617771336680233,1.0797644483871436,0.6125100940440193
10,0.47488892834117935,0.5399198755790989,0.9229872775261394,0.6451057543895355,1.1464728085041709,0.6380968558367578
