step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.21052063644554656,0.31592803424685273,0.15316428422884718,0.3183324833985169,0.08362626866055853,0.05616985500516145
2,0.40622028952096306,0.636114247881241,0.3398396352386309,0.637527630181915,0.16056512342472357,0.13944619070550004
3,0.5289317971800529,0.7742670388829014,0.4636435624490632,0.7676416930719222,0.2720662953703427,0.2421368844033655
4,0.6059380938998502,0.8148999459963313,0.5476929833787126,0.799764607688262,0.4143411662959088,0.3437600310069808
5,0.6694538923109943,0.8205915190352553,0.6234257758255775,0.7971864725439285,0.5720034741052773,0.4323125155371632
6,0.7297701279164437,0.813631563953397,0.6997474567472938,0.7852632524185698,0.7293672098650706,0.4994297412168009
7,0.790904248796114,0.8059010955132181,0.7768730868391837,0.7720443714839812,0.8710610913562711,0.5505811948248165
8,0.8532024682702677,0.7991125143269313,0.8541368458840729,0.7609184684290738,0.9896467134413094,0.5847671820726656
9,0.9130620274557703,0.7956422261144718,0.9333919054517867,0.7574011010203536,1.0797644483871436,0.6125100940440193
10,0.9730965304002979,0.7955908020583174,1.0086537818414674,0.7588742949490038,1.1464728085041709,0.6380968558367578
