seed,mode,success_rate,successes,num_eval,out_dir
0,rooms3_30ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_rooms3_exp6_30ep_seed0
0,rooms3_50ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_rooms3_exp6_50ep_seed0
0,priority5_30ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_priority5_exp6_30ep_seed0
0,priority5_50ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_priority5_exp6_50ep_seed0
1,rooms3_30ep,68.0,34,50,experiments/real_gauge_drift/results/tworoom_success_rate_rooms3_exp6_30ep_seed1
1,rooms3_50ep,64.0,32,50,experiments/real_gauge_drift/results/tworoom_success_rate_rooms3_exp6_50ep_seed1
1,priority5_30ep,66.0,33,50,experiments/real_gauge_drift/results/tworoom_success_rate_priority5_exp6_30ep_seed1
1,priority5_50ep,64.0,32,50,experiments/real_gauge_drift/results/tworoom_success_rate_priority5_exp6_50ep_seed1
2,rooms3_30ep,56.00000000000001,28,50,experiments/real_gauge_drift/results/tworoom_success_rate_rooms3_exp6_30ep_seed2
2,rooms3_50ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_rooms3_exp6_50ep_seed2
2,priority5_30ep,56.00000000000001,28,50,experiments/real_gauge_drift/results/tworoom_success_rate_priority5_exp6_30ep_seed2
2,priority5_50ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_priority5_exp6_50ep_seed2
3,rooms3_30ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_rooms3_exp6_30ep_seed3
3,rooms3_50ep,54.0,27,50,experiments/real_gauge_drift/results/tworoom_success_rate_rooms3_exp6_50ep_seed3
3,priority5_30ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_priority5_exp6_30ep_seed3
3,priority5_50ep,56.00000000000001,28,50,experiments/real_gauge_drift/results/tworoom_success_rate_priority5_exp6_50ep_seed3
4,rooms3_30ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_rooms3_exp6_30ep_seed4
4,rooms3_50ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_rooms3_exp6_50ep_seed4
4,priority5_30ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_priority5_exp6_30ep_seed4
4,priority5_50ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_priority5_exp6_50ep_seed4
