horizon,method,train_seed_0_mean,train_seed_42_mean,train_seed_625_mean,fine_tuning_seed_mean,fine_tuning_seed_sample_std,n_fine_tuning_seeds,n_eval_seeds_per_fine_tuning_seed,episodes_per_eval_seed
short,rooms3_30ep,92.0,92.8,91.2,92.0,0.7999999999999972,3,5,50
short,priority5_30ep,92.0,92.8,91.2,92.0,0.7999999999999972,3,5,50
short,rooms3_50ep,91.6,92.8,91.2,91.86666666666666,0.8326663997864513,3,5,50
short,priority5_50ep,92.0,92.8,91.2,92.0,0.7999999999999972,3,5,50
short,rooms3_doorway80,92.0,92.8,91.2,92.0,0.7999999999999972,3,5,50
short,priority5_doorway80,91.6,92.8,91.6,92.0,0.6928203230275526,3,5,50
short,global_ft_65ep,89.2,92.4,89.6,90.4,1.743559577416273,3,5,50
long,rooms3_30ep,61.2,60.0,62.4,61.2,1.1999999999999993,3,5,50
long,priority5_30ep,61.6,60.4,62.8,61.6,1.1999999999999993,3,5,50
long,rooms3_50ep,58.8,59.199999999999996,61.6,59.86666666666667,1.5143755588800758,3,5,50
long,priority5_50ep,58.800000000000004,59.199999999999996,63.2,60.4,2.433105012119289,3,5,50
long,rooms3_doorway80,58.8,60.0,62.0,60.266666666666666,1.6165807537309533,3,5,50
long,priority5_doorway80,59.2,59.99999999999999,63.2,60.8,2.1166010488516744,3,5,50
long,global_ft_65ep,58.0,57.2,58.0,57.733333333333334,0.461880215351699,3,5,50
