horizon,method,train_seed,eval_seed_mean,eval_seed_sample_std,eval_seed_scores
short,rooms3_30ep,0,92.0,5.291502622129181,98;94;84;90;94
short,rooms3_30ep,42,92.8,3.63318042491699,98;94;88;92;92
short,rooms3_30ep,625,91.2,3.8987177379235853,94;96;86;90;90
short,priority5_30ep,0,92.0,3.7416573867739413,96;92;86;92;94
short,priority5_30ep,42,92.8,3.03315017762062,96;94;88;92;94
short,priority5_30ep,625,91.2,4.147288270665544,96;94;86;88;92
short,rooms3_50ep,0,91.6,2.9664793948382653,96;92;88;90;92
short,rooms3_50ep,42,92.8,3.63318042491699,98;94;88;92;92
short,rooms3_50ep,625,91.2,2.6832815729997477,94;94;90;88;90
short,priority5_50ep,0,92.0,3.1622776601683795,96;94;88;90;92
short,priority5_50ep,42,92.8,3.03315017762062,96;94;88;92;94
short,priority5_50ep,625,91.2,3.8987177379235853,96;94;86;90;90
short,rooms3_doorway80,0,92.0,3.1622776601683795,96;92;88;90;94
short,rooms3_doorway80,42,92.8,3.63318042491699,98;94;88;92;92
short,rooms3_doorway80,625,91.2,2.6832815729997477,94;94;90;88;90
short,priority5_doorway80,0,91.6,3.286335345030997,96;94;88;90;90
short,priority5_doorway80,42,92.8,3.03315017762062,96;94;88;92;94
short,priority5_doorway80,625,91.6,3.286335345030997,96;94;88;90;90
short,global_ft_65ep,0,89.2,2.280350850198276,92;90;86;88;90
short,global_ft_65ep,42,92.4,3.847076812334269,96;94;86;92;94
short,global_ft_65ep,625,89.6,2.9664793948382653,90;90;86;88;94
long,rooms3_30ep,0,61.2,1.7888543819998317,60;64;62;60;60
long,rooms3_30ep,42,60.0,4.69041575982343,60;68;56;58;58
long,rooms3_30ep,625,62.4,4.7749345545253306,60;70;60;58;64
long,priority5_30ep,0,61.6,2.607680962081062,62;64;60;58;64
long,priority5_30ep,42,60.4,3.577708763999661,60;66;56;60;60
long,priority5_30ep,625,62.8,5.2153619241621225,58;70;66;58;62
long,rooms3_50ep,0,58.8,3.633180424916991,60;64;58;54;58
long,rooms3_50ep,42,59.199999999999996,3.633180424916991,60;64;60;54;58
long,rooms3_50ep,625,61.6,3.5777087639996608,56;64;60;64;64
long,priority5_50ep,0,58.800000000000004,3.8987177379235844,60;64;56;54;60
long,priority5_50ep,42,59.199999999999996,3.03315017762062,60;64;58;56;58
long,priority5_50ep,625,63.2,5.403702434442516,56;60;66;64;70
long,rooms3_doorway80,0,58.8,3.633180424916991,60;64;58;54;58
long,rooms3_doorway80,42,60.0,3.7416573867739404,60;66;60;56;58
long,rooms3_doorway80,625,62.0,4.898979485566356,56;68;58;64;64
long,priority5_doorway80,0,59.2,3.03315017762062,60;62;60;54;60
long,priority5_doorway80,42,59.99999999999999,3.4641016151377575,60;66;58;58;58
long,priority5_doorway80,625,63.2,5.019960159204451,56;62;64;64;70
long,global_ft_65ep,0,58.0,5.999999999999999,56;68;56;52;58
long,global_ft_65ep,42,57.2,4.8166378315169185,60;62;52;52;60
long,global_ft_65ep,625,58.0,3.162277660168378,60;62;58;54;56
