train_seed,eval_seed,horizon,method,success_rate,successes,num_eval,out_dir
0,0,long,rooms3_30ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_30ep_long_evalseed0
0,0,long,priority5_30ep,62.0,31,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_30ep_long_evalseed0
0,0,long,rooms3_50ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_50ep_long_evalseed0
0,0,long,priority5_50ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_50ep_long_evalseed0
0,0,long,rooms3_doorway80,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_doorway80_long_evalseed0
0,0,long,priority5_doorway80,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_doorway80_long_evalseed0
0,0,long,global_ft_65ep,56.00000000000001,28,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_global_ft_65ep_long_evalseed0
0,1,long,rooms3_30ep,64.0,32,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_30ep_long_evalseed1
0,1,long,priority5_30ep,64.0,32,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_30ep_long_evalseed1
0,1,long,rooms3_50ep,64.0,32,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_50ep_long_evalseed1
0,1,long,priority5_50ep,64.0,32,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_50ep_long_evalseed1
0,1,long,rooms3_doorway80,64.0,32,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_doorway80_long_evalseed1
0,1,long,priority5_doorway80,62.0,31,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_doorway80_long_evalseed1
0,1,long,global_ft_65ep,68.0,34,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_global_ft_65ep_long_evalseed1
0,2,long,rooms3_30ep,62.0,31,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_30ep_long_evalseed2
0,2,long,priority5_30ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_30ep_long_evalseed2
0,2,long,rooms3_50ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_50ep_long_evalseed2
0,2,long,priority5_50ep,56.00000000000001,28,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_50ep_long_evalseed2
0,2,long,rooms3_doorway80,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_doorway80_long_evalseed2
0,2,long,priority5_doorway80,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_doorway80_long_evalseed2
0,2,long,global_ft_65ep,56.00000000000001,28,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_global_ft_65ep_long_evalseed2
0,3,long,rooms3_30ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_30ep_long_evalseed3
0,3,long,priority5_30ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_30ep_long_evalseed3
0,3,long,rooms3_50ep,54.0,27,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_50ep_long_evalseed3
0,3,long,priority5_50ep,54.0,27,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_50ep_long_evalseed3
0,3,long,rooms3_doorway80,54.0,27,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_doorway80_long_evalseed3
0,3,long,priority5_doorway80,54.0,27,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_doorway80_long_evalseed3
0,3,long,global_ft_65ep,52.0,26,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_global_ft_65ep_long_evalseed3
0,4,long,rooms3_30ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_30ep_long_evalseed4
0,4,long,priority5_30ep,64.0,32,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_30ep_long_evalseed4
0,4,long,rooms3_50ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_50ep_long_evalseed4
0,4,long,priority5_50ep,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_50ep_long_evalseed4
0,4,long,rooms3_doorway80,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_rooms3_doorway80_long_evalseed4
0,4,long,priority5_doorway80,60.0,30,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_priority5_doorway80_long_evalseed4
0,4,long,global_ft_65ep,57.99999999999999,29,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed0_global_ft_65ep_long_evalseed4
