train_seed,eval_seed,horizon,method,success_rate,successes,num_eval,out_dir
625,0,short,rooms3_30ep,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_30ep_short_evalseed0
625,0,short,priority5_30ep,96.0,48,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_30ep_short_evalseed0
625,0,short,rooms3_50ep,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_50ep_short_evalseed0
625,0,short,priority5_50ep,96.0,48,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_50ep_short_evalseed0
625,0,short,rooms3_doorway80,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_doorway80_short_evalseed0
625,0,short,priority5_doorway80,96.0,48,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_doorway80_short_evalseed0
625,0,short,global_ft_65ep,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_global_ft_65ep_short_evalseed0
625,1,short,rooms3_30ep,96.0,48,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_30ep_short_evalseed1
625,1,short,priority5_30ep,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_30ep_short_evalseed1
625,1,short,rooms3_50ep,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_50ep_short_evalseed1
625,1,short,priority5_50ep,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_50ep_short_evalseed1
625,1,short,rooms3_doorway80,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_doorway80_short_evalseed1
625,1,short,priority5_doorway80,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_doorway80_short_evalseed1
625,1,short,global_ft_65ep,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_global_ft_65ep_short_evalseed1
625,2,short,rooms3_30ep,86.0,43,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_30ep_short_evalseed2
625,2,short,priority5_30ep,86.0,43,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_30ep_short_evalseed2
625,2,short,rooms3_50ep,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_50ep_short_evalseed2
625,2,short,priority5_50ep,86.0,43,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_50ep_short_evalseed2
625,2,short,rooms3_doorway80,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_doorway80_short_evalseed2
625,2,short,priority5_doorway80,88.0,44,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_doorway80_short_evalseed2
625,2,short,global_ft_65ep,86.0,43,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_global_ft_65ep_short_evalseed2
625,3,short,rooms3_30ep,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_30ep_short_evalseed3
625,3,short,priority5_30ep,88.0,44,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_30ep_short_evalseed3
625,3,short,rooms3_50ep,88.0,44,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_50ep_short_evalseed3
625,3,short,priority5_50ep,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_50ep_short_evalseed3
625,3,short,rooms3_doorway80,88.0,44,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_doorway80_short_evalseed3
625,3,short,priority5_doorway80,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_doorway80_short_evalseed3
625,3,short,global_ft_65ep,88.0,44,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_global_ft_65ep_short_evalseed3
625,4,short,rooms3_30ep,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_30ep_short_evalseed4
625,4,short,priority5_30ep,92.0,46,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_30ep_short_evalseed4
625,4,short,rooms3_50ep,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_50ep_short_evalseed4
625,4,short,priority5_50ep,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_50ep_short_evalseed4
625,4,short,rooms3_doorway80,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_rooms3_doorway80_short_evalseed4
625,4,short,priority5_doorway80,90.0,45,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_priority5_doorway80_short_evalseed4
625,4,short,global_ft_65ep,94.0,47,50,experiments/real_gauge_drift/results/tworoom_success_rate_trainseed625_global_ft_65ep_short_evalseed4
