step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.10543515361660129,0.12900708384927415,0.04834143279931614,0.13421484579735452,0.08362626866055853,0.05616985500516145
2,0.18545168693558242,0.28178286571235966,0.11177902434622955,0.27825548292714614,0.16056512342472357,0.13944619070550004
3,0.2731698384676843,0.39909176993920453,0.18683473995901986,0.38519351568116955,0.2720662953703427,0.2421368844033655
4,0.3641939198771659,0.47704691099601376,0.2658940501060021,0.45044975979244617,0.4143411662959088,0.3437600310069808
5,0.4575080562375604,0.5333628351161132,0.3460318123967814,0.4928067641278356,0.5720034741052773,0.4323125155371632
6,0.5505117427637444,0.5761897691106027,0.42648978366092183,0.5266958935291542,0.7293672098650706,0.4994297412168009
7,0.637832886090565,0.6109890228537734,0.5021688676225209,0.5540806743069149,0.8710610913562711,0.5505811948248165
8,0.7171247324789691,0.6396863610422359,0.5711074375754286,0.5812432030978392,0.9896467134413094,0.5847671820726656
9,0.7869133354743869,0.668659306665116,0.6342285720139791,0.6100046057895971,1.0797644483871436,0.6125100940440193
10,0.8462063362923613,0.6926830220697804,0.6894652499737525,0.6392286278333523,1.1464728085041709,0.6380968558367578
