step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.11530428298283368,0.15560062457181723,0.05476121977562798,0.1628921063932661,0.08749810295194038,0.074175314104131
2,0.209436934965197,0.3287647897394052,0.12819378964286443,0.3277462756096316,0.16594488983537303,0.1431804585512964
3,0.306446219143254,0.46523585350100194,0.21476551072532857,0.45166490022123074,0.2893882089629187,0.27700844672840524
4,0.3899008139342186,0.5274843068481584,0.30597174988361076,0.5170212552049969,0.4303058767618495,0.3624436745958622
5,0.48426176003704313,0.5660795149465564,0.38871504992175687,0.5493535946095041,0.593100113030232,0.4391154213530931
6,0.6007080558410962,0.6138164185624403,0.48251762284689903,0.5882309947011195,0.7647204790046089,0.5126458962725149
7,0.691296377175604,0.6547043985166041,0.5539687275359029,0.6037676405778699,0.8959843924385495,0.5508683080254073
8,0.753791586314037,0.6758929682120824,0.6211259721706028,0.6340147693892003,0.9976577805937268,0.5807192269588708
9,0.8226366045564646,0.7079566775632983,0.6966411278881424,0.6603824173377927,1.1030418925802223,0.6163387575609971
10,0.8712810137949418,0.7218050156515076,0.7532427086380267,0.6877471848731171,1.1868198064476019,0.6354470689596682
