step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.115688234280372,0.08074744739150129,0.06168346408838491,0.09079496547552647,0.08362626866055853,0.05616985500516145
2,0.22676096260985273,0.2064471931206583,0.13717323866750275,0.19150182523037942,0.16056512342472357,0.13944619070550004
3,0.3837068023305998,0.3844796477627859,0.24941984913442933,0.338168625244063,0.2720662953703427,0.2421368844033655
4,0.5594391194748892,0.5527640521709338,0.37779282588394436,0.47699214382729427,0.4143411662959088,0.3437600310069808
5,0.7116122271679554,0.6609332862109256,0.4941971694152996,0.5697693042379269,0.5720034741052773,0.4323125155371632
6,0.8279617101402117,0.7104526409052005,0.5888383353028868,0.6222190063258826,0.7293672098650706,0.4994297412168009
7,0.9140974090016423,0.728610658583665,0.6631610639166603,0.6518738059821843,0.8710610913562711,0.5505811948248165
8,0.9811899241465691,0.7332057415838371,0.7253649156226507,0.673936778633567,0.9896467134413094,0.5847671820726656
9,1.036090276156305,0.734464743311193,0.7781427175756251,0.6935877551932657,1.0797644483871436,0.6125100940440193
10,1.082920523232403,0.7317168078916756,0.8265139225182383,0.7104334704556251,1.1464728085041709,0.6380968558367578
