step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.27604268084106315,0.35601931496699624,0.21976573317817097,0.35513432178888016,0.08362626866055853,0.05616985500516145
2,0.5027292292715416,0.6899154513821563,0.44147685965667244,0.6781754448026678,0.16056512342472357,0.13944619070550004
3,0.6347764345933007,0.8222767634239699,0.5812711720679788,0.8013158883944145,0.2720662953703427,0.2421368844033655
4,0.7129864448337035,0.8526162900590204,0.6742153206932411,0.823198285123061,0.4143411662959088,0.3437600310069808
5,0.7755349781180899,0.8514231840131378,0.7570376249593238,0.8134097170108088,0.5720034741052773,0.4323125155371632
6,0.8351362693741394,0.8372338054159211,0.8366535067260407,0.7903512110090304,0.7293672098650706,0.4994297412168009
7,0.8962741058541948,0.8243386585360327,0.9183666748282797,0.7659790262598118,0.8710610913562711,0.5505811948248165
8,0.9577197806962552,0.8138469068049217,0.9990754873915333,0.7427470441701247,0.9896467134413094,0.5847671820726656
9,1.019624226601745,0.8071206463358837,1.080232865684991,0.7259115400210697,1.0797644483871436,0.6125100940440193
10,1.083056048077074,0.8049715573856023,1.155001253865054,0.714802722674274,1.1464728085041709,0.6380968558367578
