step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.07212874296271636,0.0418933482867861,0.01262438818197267,0.0509859294677877,0.08362626866055853,0.05616985500516145
2,0.107805831892967,0.09294603520325347,0.03737623168575866,0.10110196292019265,0.16056512342472357,0.13944619070550004
3,0.1513007044142366,0.15559685114855476,0.07718259745245809,0.15388761803935372,0.2720662953703427,0.2421368844033655
4,0.20493672531570475,0.2223541061245186,0.1347711642878594,0.21333318422111988,0.4143411662959088,0.3437600310069808
5,0.2680905225658117,0.2927279901419963,0.20682155211390438,0.27334696730030594,0.5720034741052773,0.4323125155371632
6,0.3387038633721121,0.364081524918945,0.2912316979938723,0.3366978539637419,0.7293672098650706,0.4994297412168009
7,0.41169095726628,0.43093863492824863,0.3813374552175579,0.39739902398955707,0.8710610913562711,0.5505811948248165
8,0.4832356943274509,0.4900191992793808,0.47153112567372263,0.4537660652836137,0.9896467134413094,0.5847671820726656
9,0.5475101276612835,0.5453449212735205,0.5570956507032021,0.5089807207427534,1.0797644483871436,0.6125100940440193
10,0.6052725450013613,0.5931643299097267,0.631903162709761,0.557213666904424,1.1464728085041709,0.6380968558367578
