step,pairwise_mse_mean,pairwise_mse_std,predictor_a_mse_vs_gt_mean,predictor_a_mse_vs_gt_std,predictor_b_mse_vs_gt_mean,predictor_b_mse_vs_gt_std
1,0.28265830608281334,0.3646265097072691,0.22683546439225613,0.36467895386411864,0.08362626866055853,0.05616985500516145
2,0.4848266795452192,0.6389773736185805,0.42196313151730447,0.6387602112089477,0.16056512342472357,0.13944619070550004
3,0.6351216000594696,0.800447179909735,0.5729565671933825,0.792637477255928,0.2720662953703427,0.2421368844033655
4,0.7317381014793499,0.8599041030018201,0.679422288269251,0.8421415826031501,0.4143411662959088,0.3437600310069808
5,0.8022967667916648,0.8687985231229648,0.7639618464497585,0.8417948675474414,0.5720034741052773,0.4323125155371632
6,0.8657820517456797,0.8618915006222106,0.8452235640266594,0.8281310460405575,0.7293672098650706,0.4994297412168009
7,0.930161216812225,0.851061679523387,0.9249573806807886,0.8106915982151165,0.8710610913562711,0.5505811948248165
8,0.9953270565894154,0.839780908651519,1.0066094881640344,0.7955255111649308,0.9896467134413094,0.5847671820726656
9,1.0591629311947262,0.8363711025006928,1.0865884803859878,0.7860147393611786,1.0797644483871436,0.6125100940440193
10,1.1235685004311196,0.8334971577689465,1.1631566038499639,0.7802481590972045,1.1464728085041709,0.6380968558367578
