config,step,delta_mean,delta_std,frac_improved,frac_worse
official_lewm,1,0.0771905935547022,0.05291662349269783,0.0003075314450902605,0.9996924685549098
official_lewm,3,0.20005132998805536,0.1957754087368649,0.01454623735276932,0.9854537626472307
official_lewm,5,0.3565429928164705,0.3167469971064851,0.022050004612971675,0.9779499953870283
official_lewm,10,0.46772420538416215,0.4740820431353871,0.0871236583940708,0.9128763416059292
rooms3_switch_50ep,1,4.73797888597692e-05,0.013566872121055583,0.5144693544914968,0.4855306455085032
rooms3_switch_50ep,3,-0.0017298310664959576,0.0773000840036654,0.5494664329427684,0.4505335670572316
rooms3_switch_50ep,5,-0.005323234056784497,0.12487126220318272,0.563213088538303,0.43678691146169696
rooms3_switch_50ep,10,-0.012363341262338234,0.22696848690934227,0.5742842205615524,0.4257157794384476
latent_cluster_switch,1,0.000823077536292248,0.015961487258697397,0.3839530091951902,0.6160469908048098
latent_cluster_switch,3,0.0020563826101896265,0.06585299506759164,0.4582833594735062,0.5417166405264938
latent_cluster_switch,5,0.0029689886794706274,0.11037451259404618,0.4654180889996002,0.5345819110003998
latent_cluster_switch,10,0.002659558847080123,0.1940038234822304,0.4555770827567119,0.5444229172432882
