method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,64.0
official,,,1,62.0
official,,,2,48.0
official,,,3,60.0
official,,,4,52.0
global,0,,0,60.0
global,0,,1,62.0
global,0,,2,56.00000000000001
global,0,,3,60.0
global,0,,4,52.0
global,42,,0,64.0
global,42,,1,66.0
global,42,,2,56.00000000000001
global,42,,3,57.99999999999999
global,42,,4,52.0
global,625,,0,66.0
global,625,,1,64.0
global,625,,2,54.0
global,625,,3,57.99999999999999
global,625,,4,50.0
kmeanspp,0,0,0,64.0
kmeanspp,0,0,1,70.0
kmeanspp,0,0,2,56.00000000000001
kmeanspp,0,0,3,60.0
kmeanspp,0,0,4,54.0
kmeanspp,0,1,0,60.0
kmeanspp,0,1,1,62.0
kmeanspp,0,1,2,50.0
kmeanspp,0,1,3,57.99999999999999
kmeanspp,0,1,4,54.0
kmeanspp,0,2,0,64.0
kmeanspp,0,2,1,62.0
kmeanspp,0,2,2,54.0
kmeanspp,0,2,3,60.0
kmeanspp,0,2,4,52.0
kmeanspp,42,0,0,62.0
kmeanspp,42,0,1,60.0
kmeanspp,42,0,2,50.0
kmeanspp,42,0,3,57.99999999999999
kmeanspp,42,0,4,52.0
kmeanspp,42,1,0,64.0
kmeanspp,42,1,1,62.0
kmeanspp,42,1,2,52.0
kmeanspp,42,1,3,57.99999999999999
kmeanspp,42,1,4,50.0
kmeanspp,42,2,0,64.0
kmeanspp,42,2,1,62.0
kmeanspp,42,2,2,52.0
kmeanspp,42,2,3,57.99999999999999
kmeanspp,42,2,4,52.0
kmeanspp,625,0,0,62.0
kmeanspp,625,0,1,62.0
kmeanspp,625,0,2,56.00000000000001
kmeanspp,625,0,3,56.00000000000001
kmeanspp,625,0,4,52.0
kmeanspp,625,1,0,60.0
kmeanspp,625,1,1,60.0
kmeanspp,625,1,2,50.0
kmeanspp,625,1,3,57.99999999999999
kmeanspp,625,1,4,52.0
kmeanspp,625,2,0,64.0
kmeanspp,625,2,1,66.0
kmeanspp,625,2,2,57.99999999999999
kmeanspp,625,2,3,57.99999999999999
kmeanspp,625,2,4,54.0
spectral,0,0,0,66.0
spectral,0,0,1,68.0
spectral,0,0,2,56.00000000000001
spectral,0,0,3,56.00000000000001
spectral,0,0,4,54.0
spectral,0,1,0,62.0
spectral,0,1,1,60.0
spectral,0,1,2,54.0
spectral,0,1,3,57.99999999999999
spectral,0,1,4,52.0
spectral,0,2,0,64.0
spectral,0,2,1,68.0
spectral,0,2,2,54.0
spectral,0,2,3,57.99999999999999
spectral,0,2,4,52.0
spectral,42,0,0,62.0
spectral,42,0,1,64.0
spectral,42,0,2,56.00000000000001
spectral,42,0,3,57.99999999999999
spectral,42,0,4,54.0
spectral,42,1,0,57.99999999999999
spectral,42,1,1,60.0
spectral,42,1,2,54.0
spectral,42,1,3,57.99999999999999
spectral,42,1,4,52.0
spectral,42,2,0,64.0
spectral,42,2,1,64.0
spectral,42,2,2,57.99999999999999
spectral,42,2,3,57.99999999999999
spectral,42,2,4,52.0
spectral,625,0,0,60.0
spectral,625,0,1,64.0
spectral,625,0,2,56.00000000000001
spectral,625,0,3,54.0
spectral,625,0,4,52.0
spectral,625,1,0,64.0
spectral,625,1,1,62.0
spectral,625,1,2,60.0
spectral,625,1,3,57.99999999999999
spectral,625,1,4,52.0
spectral,625,2,0,57.99999999999999
spectral,625,2,1,64.0
spectral,625,2,2,54.0
spectral,625,2,3,56.00000000000001
spectral,625,2,4,54.0
auto_lap,0,0,0,66.0
auto_lap,0,0,1,68.0
auto_lap,0,0,2,56.00000000000001
auto_lap,0,0,3,56.00000000000001
auto_lap,0,0,4,54.0
auto_lap,42,0,0,62.0
auto_lap,42,0,1,64.0
auto_lap,42,0,2,56.00000000000001
auto_lap,42,0,3,57.99999999999999
auto_lap,42,0,4,54.0
auto_lap,625,0,0,60.0
auto_lap,625,0,1,64.0
auto_lap,625,0,2,56.00000000000001
auto_lap,625,0,3,54.0
auto_lap,625,0,4,52.0
